job_id,job_title,company,location,skills,salary,employment_type,experience_text,experience_years,job_text
11,,Lishanth Enterprises,Vijayawada,Client Relationship Management (CRM)Sales ManagementSales SupportCustomer SupportSales Strategy,"₹ 10,00,000 - 12,00,000 /year",,1 year(s),1.0,Lishanth Enterprises Vijayawada Client Relationship Management (CRM)Sales ManagementSales SupportCustomer SupportSales Strategy 1 year(s)
12,,Belstar MicroFinance Limited,Chennai,AccountingFinancial planningFinancial Reporting,"₹ 8,00,000 - 12,00,000 /year",,1 year(s),1.0,Belstar MicroFinance Limited Chennai AccountingFinancial planningFinancial Reporting 1 year(s)
13,,California Burrito,Bangalore,Video Editing,"₹ 7,00,000 - 8,00,000 /year",,1 year(s),1.0,California Burrito Bangalore Video Editing 1 year(s)
14,,NYX,Work from home,NegotiationDigital MarketingClient Relationship Management (CRM)Client RelationshipLinkedIn MarketingBusiness DevelopmentGoogle Workspace+5 more,"₹ 6,00,000 /year",,1 year(s),1.0,NYX Work from home NegotiationDigital MarketingClient Relationship Management (CRM)Client RelationshipLinkedIn MarketingBusiness DevelopmentGoogle Workspace+5 more 1 year(s)
15,,Bhanzu (Formerly Exploring Infinities),Work from home,"Social Media MarketingPresentation skillsEmail MarketingMS-Excel, English Proficiency (Spoken)SalesEffective Communication","₹ 5,80,000 - 6,00,000 /year",,1 year(s),1.0,"Bhanzu (Formerly Exploring Infinities) Work from home Social Media MarketingPresentation skillsEmail MarketingMS-Excel, English Proficiency (Spoken)SalesEffective Communication 1 year(s)"
16,,Confederation Of Indian Industry (CII),"Coimbatore, Madurai, Visakhapatnam",Effective Communication,"₹ 5,50,000 - 6,50,000 /year",,1 year(s),1.0,"Confederation Of Indian Industry (CII) Coimbatore, Madurai, Visakhapatnam Effective Communication 1 year(s)"
17,,SpotOnMedia,Work from home,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more","₹ 5,06,000 - 6,40,500 /year",,1 year(s),1.0,"SpotOnMedia Work from home MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more 1 year(s)"
18,,WWF India,Hyderabad,Client InteractionPublic SpeakingSalesMarketingCustomer Acquisition,"₹ 5,00,000 - 6,50,000 /year",,1 year(s),1.0,WWF India Hyderabad Client InteractionPublic SpeakingSalesMarketingCustomer Acquisition 1 year(s)
19,,Bhanzu (Formerly Exploring Infinities),Bangalore,"MS-Excel, English Proficiency (Spoken)English Proficiency (Written)SalesEffective CommunicationSales Strategy","₹ 4,60,000 - 4,80,000 /year",,0 year(s),0.0,"Bhanzu (Formerly Exploring Infinities) Bangalore MS-Excel, English Proficiency (Spoken)English Proficiency (Written)SalesEffective CommunicationSales Strategy 0 year(s)"
20,,Bhanzu (Formerly Exploring Infinities),Bangalore,English Proficiency (Spoken)English Proficiency (Written)Interpersonal skills,"₹ 4,60,000 /year",,0 year(s),0.0,Bhanzu (Formerly Exploring Infinities) Bangalore English Proficiency (Spoken)English Proficiency (Written)Interpersonal skills 0 year(s)
21,,Fitelo,Work from home,Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Effective Communication,"₹ 4,50,000 - 6,00,000 /year",,1 year(s),1.0,Fitelo Work from home Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Effective Communication 1 year(s)
22,,Faff,Bangalore,Time ManagementProblem SolvingCoordinationAdaptabilityEffective CommunicationConflict Management,"₹ 4,20,000 - 6,80,000 /year",,0 year(s),0.0,Faff Bangalore Time ManagementProblem SolvingCoordinationAdaptabilityEffective CommunicationConflict Management 0 year(s)
23,,Netcore Cloud,"Thane, Mumbai",HTMLLinuxMS SQL Server,"₹ 4,10,000 - 5,00,000 /year",,0 year(s),0.0,"Netcore Cloud Thane, Mumbai HTMLLinuxMS SQL Server 0 year(s)"
24,,SpotOnMedia,Work from home,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more","₹ 4,02,000 - 5,61,500 /year",,1 year(s),1.0,"SpotOnMedia Work from home MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more 1 year(s)"
25,,NoBroker Technologies Solutions Private Limited,Bangalore,Cold CallingInside SalesBusiness DevelopmentSales,"₹ 4,00,000 - 6,30,000 /year",,1 year(s),1.0,NoBroker Technologies Solutions Private Limited Bangalore Cold CallingInside SalesBusiness DevelopmentSales 1 year(s)
26,,Imarticus Learning,"Mumbai, Noida",Content WritingMS-WordMS-PowerPointStoryboardingMS-ExcelContent ManagementDesign Thinking+3 more,"₹ 4,00,000 - 6,00,000 /year",,1 year(s),1.0,"Imarticus Learning Mumbai, Noida Content WritingMS-WordMS-PowerPointStoryboardingMS-ExcelContent ManagementDesign Thinking+3 more 1 year(s)"
27,,WWF India,Chennai,Public SpeakingSalesMarketing,"₹ 4,00,000 - 5,00,000 /year",,0 year(s),0.0,WWF India Chennai Public SpeakingSalesMarketing 0 year(s)
28,,Duroflex Private Limited,Hosur,Planning,"₹ 4,00,000 - 5,00,000 /year",,0 year(s),0.0,Duroflex Private Limited Hosur Planning 0 year(s)
29,,GlobalStep Services Private Limited,Pune,RecruitmentResume screeningInterview Coordination,"₹ 4,00,000 - 5,00,000 /year",,1 year(s),1.0,GlobalStep Services Private Limited Pune RecruitmentResume screeningInterview Coordination 1 year(s)
30,,LeapScholar,Work from home,TeachingEnglish Proficiency (Spoken)English Proficiency (Written)Online Teaching,"₹ 4,00,000 /year",,1 year(s),1.0,LeapScholar Work from home TeachingEnglish Proficiency (Spoken)English Proficiency (Written)Online Teaching 1 year(s)
31,,CREO,Bangalore,Adobe PhotoshopAdobe IllustratorAdobe InDesignCanvaFigma,"₹ 3,90,000 /year",,0 year(s),0.0,CREO Bangalore Adobe PhotoshopAdobe IllustratorAdobe InDesignCanvaFigma 0 year(s)
32,,IDFC First Bank,"Kolkata, Barasat (Hybrid)",Lead GenerationSalesField Sales,"₹ 3,80,000 - 6,40,000 /year",,0 year(s),0.0,"IDFC First Bank Kolkata, Barasat (Hybrid) Lead GenerationSalesField Sales 0 year(s)"
33,,NJ India Invest Private Limited,Surat,SalesEffective Communication,"₹ 3,75,000 - 4,20,000 /year",,0 year(s),0.0,NJ India Invest Private Limited Surat SalesEffective Communication 0 year(s)
34,,Ashiana Housing Limited,Bhiwadi,Data AnalyticsMS-ExcelData entryPower BIData Analysis,"₹ 3,60,000 - 4,20,000 /year",,1 year(s),1.0,Ashiana Housing Limited Bhiwadi Data AnalyticsMS-ExcelData entryPower BIData Analysis 1 year(s)
35,,California Burrito,Bangalore,BrandingUI & UX DesignInterior designGraphic DesignDigital IllustrationMotion Graphics,"₹ 3,50,000 - 4,00,000 /year",,0 year(s),0.0,California Burrito Bangalore BrandingUI & UX DesignInterior designGraphic DesignDigital IllustrationMotion Graphics 0 year(s)
36,,Medi Assist Healthcare Private Limited,Mumbai,Medical Terminology,"₹ 3,40,000 - 4,50,000 /year",,0 year(s),0.0,Medi Assist Healthcare Private Limited Mumbai Medical Terminology 0 year(s)
37,,Urban Company,Bangalore,"MS-Excel, English Proficiency (Spoken)","₹ 3,36,000 - 6,00,000 /year",,0 year(s),0.0,"Urban Company Bangalore MS-Excel, English Proficiency (Spoken) 0 year(s)"
38,,Urban Company Ltd.,Bangalore,"MS-Excel, English Proficiency (Written)","₹ 3,30,000 - 4,00,000 /year",,0 year(s),0.0,"Urban Company Ltd. Bangalore MS-Excel, English Proficiency (Written) 0 year(s)"
39,,KnowledgeWorks Global Limited,"Chennai, Mumbai",English Proficiency (Spoken)English Proficiency (Written),"₹ 3,25,000 - 5,50,000 /year",,0 year(s),0.0,"KnowledgeWorks Global Limited Chennai, Mumbai English Proficiency (Spoken)English Proficiency (Written) 0 year(s)"
40,,RMSI Private Limited,Hyderabad,SQLMS SQL ServerGISArcGISSSMS,"₹ 3,20,000 - 4,50,000 /year",,1 year(s),1.0,RMSI Private Limited Hyderabad SQLMS SQL ServerGISArcGISSSMS 1 year(s)
41,,Urban Company,Gurgaon,Effective Communication,"₹ 3,10,000 - 4,00,000 /year",,0 year(s),0.0,Urban Company Gurgaon Effective Communication 0 year(s)
42,,Paisabazaar,Gurgaon,Investment BankingSales,"₹ 3,00,001 - 4,60,008 /year",,1 year(s),1.0,Paisabazaar Gurgaon Investment BankingSales 1 year(s)
43,,Mintifi Finserve Private Limited,Mumbai,"MS-Office, MS-Excel, English Proficiency (Spoken)","₹ 3,00,000 - 6,00,000 /year",,1 year(s),1.0,"Mintifi Finserve Private Limited Mumbai MS-Office, MS-Excel, English Proficiency (Spoken) 1 year(s)"
44,,Starcrest Services Pvt. Ltd.,"Delhi, Gurgaon, Noida",MS-OfficeRecruitment,"₹ 3,00,000 - 5,00,000 /year",,1 year(s),1.0,"Starcrest Services Pvt. Ltd. Delhi, Gurgaon, Noida MS-OfficeRecruitment 1 year(s)"
45,,Lishanth Enterprises,"Narasaraopet, Anakapalle, Macherla, Prathipadu, Bapatla, Chirala, Gajuwaka Part",Client Relationship Management (CRM)CoordinationSales ManagementClient RelationshipNegotiationsCustomer AcquisitionSales Strategy,"₹ 3,00,000 - 4,80,000 /year",,0 year(s),0.0,"Lishanth Enterprises Narasaraopet, Anakapalle, Macherla, Prathipadu, Bapatla, Chirala, Gajuwaka Part Client Relationship Management (CRM)CoordinationSales ManagementClient RelationshipNegotiationsCustomer AcquisitionSales Strategy 0 year(s)"
46,,Centific,Work from home,Effective Communication,"₹ 3,00,000 - 4,70,000 /year",,0 year(s),0.0,Centific Work from home Effective Communication 0 year(s)
47,,Scaler,Bangalore,English Proficiency (Spoken)Hindi Proficiency (Spoken)Effective Communication,"₹ 3,00,000 - 4,50,000 /year",,1 year(s),1.0,Scaler Bangalore English Proficiency (Spoken)Hindi Proficiency (Spoken)Effective Communication 1 year(s)
48,,Zucol Group Of Companies,Pune,Creative WritingEnglish Proficiency (Spoken)English Proficiency (Written)Network protocols,"₹ 3,00,000 - 4,04,000 /year",,0 year(s),0.0,Zucol Group Of Companies Pune Creative WritingEnglish Proficiency (Spoken)English Proficiency (Written)Network protocols 0 year(s)
49,,Cloudnine Hospital,Bangalore,"MS-Excel, English Proficiency (Written)CanvaPivot TableVLOOKUP","₹ 3,00,000 - 4,00,000 /year",,0 year(s),0.0,"Cloudnine Hospital Bangalore MS-Excel, English Proficiency (Written)CanvaPivot TableVLOOKUP 0 year(s)"
50,,Webvio Technologies,Delhi,BloggingSearch Engine Optimization (SEO)Creative WritingProofreadingEnglish Proficiency (Written)Research and Analytics,"₹ 3,00,000 - 4,00,000 /year",,1 year(s),1.0,Webvio Technologies Delhi BloggingSearch Engine Optimization (SEO)Creative WritingProofreadingEnglish Proficiency (Written)Research and Analytics 1 year(s)
