source,source_job_id,job_title,company,location,location_area,searched_location,latitude,longitude,salary_min,salary_max,salary_is_predicted,contract_type,contract_time,category,category_tag,description,created,redirect_url,company_address,location_display,coordinates_source,geocoded_display_name,location_status,distance_available
Adzuna,5795463566,Customer Service Representative,Policybazaar.com,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,Customer Services Jobs,customer-services-jobs,"Job Title: Associate Consultant Services Department: Customer Support / Operations Location: Field-based (Customer Visits Required) BENGALURU,KARNATAKA Contact Person : Kashish Singh | 8448389795| kashishsingh@policybazaar.com Job Summary We are looking for an Associate Consultant Services to join the PolicyBazaar team and provide dedicated customer support for health insurance documentation and related queries. This role involves visiting customers at their location to assist with documentatio…",2026-07-10T15:27:46Z,https://www.adzuna.in/land/ad/5795463566?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=D1A644DA6C57767113B166D8205C994B50AF552B,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5729067546,Customer Success Manager,Atomicwork,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,IT Jobs,it-jobs,"Atomicwork is on a mission to transform the digital workplace experience by uniting people, processes, and platforms through AI automation. Our team is building a modern service management platform that enables growing businesses to reduce operational complexity and drive business success. We’re seeking an experienced customer success manager to join our team and help us build our modern service management platform. This is a position based out of our Bangalore offices . We offer competitive pa…",2026-05-14T15:14:33Z,https://www.adzuna.in/land/ad/5729067546?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=98066A6D4F6CBA7F8FA837A2A70FFD30ABD83802,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5785773081,Deal Team Analyst 2026,EQT Group,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,full_time,Accounting & Finance Jobs,accounting-finance-jobs,"This job is with EQT Group, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. As a Bengaluru Deal Team Analyst, you will work directly with deal teams in EMEA market, supporting the investment process from origination to execution. The role offers a significant opportunity to kick-start your career in Private Equity, with potential career progression to Associate roles in major hubs globall…",2026-07-03T00:54:32Z,https://www.adzuna.in/land/ad/5785773081?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=145BA59D10C0F8189F14BC6249717ECC603A7E4A,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5822232661,Enterprise Sales Manager,Ratham,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,Sales Jobs,sales-jobs,"Role: Enterprise Sales Manager Location: Bangalore (Onsite) Department: Sales At Ratham , we're redefining corporate employee transportation through technology, operational excellence, and customer-centric mobility solutions. As we continue to expand, we're looking for high-performing Enterprise Sales Managers who have a proven track record of winning enterprise business and building strong relationships with Facilities, Administration, Procurement, HR, Workplace Services, and Transport leaders…",2026-07-31T15:27:21Z,https://www.adzuna.in/land/ad/5822232661?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=C7A7693A3BF52048036B3B0DC49ADCFC3FACF102,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5819623234,Executive Assistant,Acuity Analytics,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,Admin Jobs,admin-jobs,"Executive Assistant (Sell Side Research & Operations) - Associate Job Location - Gurgaon & Bangalore Mode - Hybrid Shift Timing - 2 PM to 11 PM Job Purpose The Executive Assistant will provide high-level administrative, organizational, and strategic support to senior leadership, ensuring seamless execution of day-to-day business operations. This role requires exceptional planning, communication, stakeholder management, and problem-solving skills, with the ability to handle confidential informat…",2026-07-29T15:21:21Z,https://www.adzuna.in/land/ad/5819623234?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=BD8DBEF8428CA5552354FF4D576B2CFB835A72F9,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5801148439,Executive – Retail & Cafeteria Operations,SmartQ,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,Retail Jobs,retail-jobs,"About SmartQ: SmartQ is redefining how the world experiences food. As a next-generation food-tech innovator, we solve real operational challenges through empathy-led insights and powerful technology. Our mission is clear: to elevate everyday dining into a seamless and meaningful experience. In the last decade, we’ve transformed cafeteria and food operations across industries with scalable, cutting-edge solutions. Operating in 14 countries and backed by Compass Group- a $60B global foodservice l…",2026-07-15T18:05:23Z,https://www.adzuna.in/land/ad/5801148439?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=CA6082634CC1AA15F87CAA950DD425D1708E2FA7,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5806136368,Hedge Accounting Professional,Radiant Digital,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,Accounting & Finance Jobs,accounting-finance-jobs,"Title: Hedge Accounting Professional Experience: 5 to 10 years Location: India, with flexibility for major Client office locations We are seeking a Senior Hedge Accounting Analyst with strong experience in IFRS 9 Hedge Accounting, Treasury Accounting, and Derivative Financial Instruments to support global finance and treasury operations. Domain: Banking / Financial Services / Treasury Skills: Hedge Accounting, IFRS 9, Derivatives, Treasury Accounting, Financial Reporting Candidates with experie…",2026-07-18T18:07:35Z,https://www.adzuna.in/land/ad/5806136368?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=8520E4AF11130C88589DA76854C665A5ADA9764F,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5793571642,"IT Infrastructure Architect - Cloud (Azure, GCP)",Colt Technology Services,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,12.95703,77.59837,,,0,permanent,full_time,IT Jobs,it-jobs,"This job is with Colt Technology Services, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Colt provides network, voice and data centre services to thousands of businesses around the world, allowing them to focus on delivering their business goals instead of the underlying infrastructure. Job ID - 36702 Job Type - Permanent Job Function - DIO Why we need this role Cloud, Workplace, Automa…",2026-07-09T07:31:31Z,https://www.adzuna.in/land/ad/5793571642?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=654C5B2261A8A68DDD8265F970776755E3E1B6D6,"India, Karnataka, Bangalore","Bangalore, Karnataka",Adzuna,,Coordinates from Adzuna,True
Adzuna,5785772754,IT Infrastructure Specialist (Linux),Colt Technology Services,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,12.95703,77.59837,,,0,,full_time,IT Jobs,it-jobs,"This job is with Colt Technology Services, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Colt provides network, voice and data centre services to thousands of businesses around the world, allowing them to focus on delivering their business goals instead of the underlying infrastructure. IT Infrastructure Specialist Job Level- S2 Core Function- DIO Location- Gurgaon/ Bangalore, India Emp…",2026-07-03T00:54:29Z,https://www.adzuna.in/land/ad/5785772754?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=838BF859DAD182AA280D5FF077CC6839C936AC06,"India, Karnataka, Bangalore","Bangalore, Karnataka",Adzuna,,Coordinates from Adzuna,True
Adzuna,5831966274,Inside Sales,Onsurity,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,Sales Jobs,sales-jobs,Who are we looking for? • Strong communication and interpersonal skills with aptitude in building relationships with professionals at all organizational levels. • Prior experience working in a B2B Saas/ CRM/ERP Sales background. • Highly energetic Individuals who are always willing to stretch their boundaries at Work • Target Driven folks who will not stop or settle for anything lesser than their assigned Targets • Ability in problem-solving and negotiation • Strong listening and presentation s…,2026-08-07T17:56:23Z,https://www.adzuna.in/land/ad/5831966274?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=D59B363E40542E99E20C0242600FA7D07F714517,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5820963896,Inside Sales Executive - US Market,Creative Synergies Group,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,Sales Jobs,sales-jobs,"Job Description: Role Name: Inside Sales Executive for USA Market | Automotive Work Model: Hybrid Work Timings: US Hours (4 PM to 1 AM) Work Location: Whitefield, Bangalore Job Summary: We are seeking a proactive Inside Sales Executive to join our team. The role involves lead generation, client engagement, and coordination with sales and technical teams to provide customized engineering solutions. Ideal candidates will have a solid grasp of engineering concepts and a knack for building lasting …",2026-07-30T15:25:32Z,https://www.adzuna.in/land/ad/5820963896?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=91DAF4863ED716EE4694BB0A35330A7A72A7B2E5,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5818524816,Inside Sales Executive – B2B Conferences (Delegate Sales),Exxocon Global,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,Sales Jobs,sales-jobs,"Company Description Exxocon Global designs and delivers industry-led events, including conferences, workshops, and certification courses, to help professionals and organizations build relevant, up-to-date skills. The company focuses on key sectors such as oil and gas, petrochemicals, utilities, banking, and energy, with a particular emphasis on markets in the Middle East, Africa, and Asia. Exxocon Global’s events provide a platform to present, discuss, and debate strategic topics aligned with m…",2026-07-28T21:19:03Z,https://www.adzuna.in/land/ad/5818524816?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=286C31D684547A5808B318780DE6D4532A2515D0,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5812352039,Integrated Media Planner (2-4 Years),Omnicom Global Solutions,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,full_time,"PR, Advertising & Marketing Jobs",pr-advertising-marketing-jobs,"About Omnicom Global Solutions Omnicom Global Solutions (OGS) is an integral part of Omnicom Group, a leading global marketing and corporate communications company. Omnicom’s branded networks and specialty firms deliver advertising, strategic media planning and buying, digital and interactive marketing, direct and promotional marketing, public relations, and other specialized communication solutions to over 5,000 clients across more than 70 countries. OGS India serves as a key global capability…",2026-07-23T18:56:06Z,https://www.adzuna.in/land/ad/5812352039?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=99BD18A6523F9E8602AF30BA084496F7ABF56468,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5819622173,Intern - Inside Sales,greytHR,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,contract,,Sales Jobs,sales-jobs,"Job Summary: We are looking for a dynamic and enthusiastic Intern – Inside Sales to support our sales team in generating qualified leads and building client relationships. This role involves outbound calling, email campaigns, nurturing leads, and coordinating with the sales team to achieve business growth. The ideal candidate is proactive, target-driven, and eager to learn and grow in a high-paced sales environment. Key Responsibilities: Conduct outbound calls and emails to prospective clients …",2026-07-29T15:20:12Z,https://www.adzuna.in/land/ad/5819622173?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=D1814A3881EDF8A8E081E096B17F1A322FD36130,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5830417644,Junior Graphic Designer,Sequel Logistics,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,"PR, Advertising & Marketing Jobs",pr-advertising-marketing-jobs,"ABOUT SEQUEL: Founded in 2004 and headquartered in Bengaluru, Sequel is India's leading Supply Chain Management company specialising in comprehensive solutions, services and products within the Secure Logistics segment. The company operates across two specialised verticals — Sequel Secure for high monetary value cargo such as gems, jewellery, bullion and other precious commodities, and Sequel Lifecare for time-critical, temperature-controlled life sciences logistics. WHAT YOU'LL DO: • Design so…",2026-08-06T17:51:57Z,https://www.adzuna.in/land/ad/5830417644?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=A5EC09082EF9F29D3C28E8BD31A2C0AEEA4285C6,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5822233089,Key Account Manager (Ads Business),Navi,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,Customer Services Jobs,customer-services-jobs,"About the Team The Ads team at Navi is responsible for delivering personalised and contextually relevant advertisements to customers within the app. By leveraging user insights and data-driven targeting, the team ensures ads feel like a natural and helpful part of the customer journey, ultimately driving both user satisfaction and incremental revenue for the business. What We Expect From You Account Management: Work with the business head to manage partner relationships, and day to day operatio…",2026-07-31T15:28:01Z,https://www.adzuna.in/land/ad/5822233089?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=C2EFACBF9D58774418BEB6F3913F5A95FCCA7129,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5801395184,Key Accounts Manager – Car Rental Operations | Bengaluru,Eminent Transit | Leading Corporate Travel Management Company,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,Accounting & Finance Jobs,accounting-finance-jobs,"Job Description: We are hiring a Key Accounts Manager to handle corporate client accounts and ensure seamless execution of car rental operations. Key Responsibilities: • Manage end-to-end operations of assigned corporate accounts • Act as SPOC for client coordination (HR/Admin/Travel Desk) • Ensure smooth execution of daily trips, airport transfers, and guest movements • Coordinate with operations, fleet, and vendors for service delivery • Monitor SLA adherence and service quality • Handle esca…",2026-07-15T22:26:24Z,https://www.adzuna.in/land/ad/5801395184?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=38438A8B27AEEDEB5A1236F65139E9C4A94C76E5,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5822403362,"Manager, IT - Data Engineering",Kraft Heinz,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,12.95703,77.59837,,,0,,full_time,IT Jobs,it-jobs,"This job is with Kraft Heinz, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Description MANAGER, DATA ENGINEERING(b13) Job Description Role overview As a Manager - Data Engineering, you will lead a cross-functional delivery team in building and maintaining the framework and platform capabilities that drive our data pipelines and analytics solutions. You will take design ownership of…",2026-07-31T19:50:47Z,https://www.adzuna.in/land/ad/5822403362?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=25353A0612E96F750642694811844BA1E9BF3623,"India, Karnataka, Bangalore","Bangalore, Karnataka",Adzuna,,Coordinates from Adzuna,True
Adzuna,5777491190,Presales Executive - Showroom Specialist,Livspace,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,Creative & Design Jobs,creative-design-jobs,"Qualification- Graduate Language Required- Gujarati, Marathi, Kannada, Telugu CTC-5-6 Lac Work from home opportunity 6 days working JOB DESCRIPTION We are looking for a talented Presales Executive - Showroom Specialist to build connect with the customers, confirm basic details to connect to the right designer and send the customers to our experience centers. The PSE will also facilitate the customer through the funnel and drive conversions while working alongside the interior designers. If you …",2026-06-26T15:00:20Z,https://www.adzuna.in/land/ad/5777491190?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=E3E0DF219DB6F1904C63B2E20E1ED83185C6E1E0,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5812612762,Product Support Analyst,SteelEye,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,IT Jobs,it-jobs,"Product Support Analyst SteelEye is a fast-moving B2B RegTech company helping financial institutions meet regulatory obligations through integrated trade and communications surveillance, reporting, and data-driven compliance tools. Our technology supports compliance, prevents market abuse, and builds trust in financial markets. We are committed to building a diverse, equitable, and inclusive workplace where different backgrounds, perspectives, and experiences are valued. As a Product Support An…",2026-07-24T00:59:08Z,https://www.adzuna.in/land/ad/5812612762?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=E6B0EEE87F2057EEDDF88CC8C08A1F53ED5168B1,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5820158611,Programmatic Performance Specialist,Adprime,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,IT Jobs,it-jobs,"Role Overview We are seeking a results-driven Programmatic Performance Specialist focused on driving high converting CPA (Cost Per Action) and CPL (Cost Per Lead) campaigns. In this role, you will be responsible for end-to-end campaign execution, bid optimization, audience architecture, and performance scaling across Display & Video 360 (DV360) and Beeswax / Free Wheel. You will operate at the intersection of data, creative strategy, and ad tech to deliver measurable business outcomes and hit d…",2026-07-30T01:26:08Z,https://www.adzuna.in/land/ad/5820158611?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=C4DD0C14CAD15529F4128F8F70922F58473D4A27,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
Adzuna,5834572473,Project Manager,"MaxVal Group, Inc.","Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,IT Jobs,it-jobs,"Job Location - Bangalore, Coimbatore Experience : 12 -18 yrs (Minimum 10 yrs in E2E project management)  Work mode- Hybrid  Immediate Joiners will be preferred Must Have 1. Product / Software development experience - custom-based or enterprise software -managing software projects 2. Project Implementation 3. US /UK client interactions -customer-facing role 4. Hybrid - Agile & waterfall (good to have waterfall) 5. MS projects and good understanding on mpp tool ( Microsoft project plan tool) 6. S…",2026-08-09T16:09:35Z,https://www.adzuna.in/land/ad/5834572473?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=FB677266BD5DE13703A8AB253DC657522E7F59A3,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False
