job_id,job_title,company,location,address,latitude,longitude,skills,salary,employment_type,experience_years,community_need,local_job
LOC0027,Data Entry Operator,Community DataEntryOperator Services,Coimbatore,"RS Puram, Coimbatore, Tamil Nadu, India",11.0168,76.9558,"MS Excel, MS Office, Data Entry, English Communication","₹15,000 - ₹22,000",Full-time,0,Local employment opportunity,True
LOC0028,Computer Operator,Local ComputerOperator Solutions,Coimbatore,"Gandhipuram, Coimbatore, Tamil Nadu, India",11.0168,76.9558,"MS Office, Excel, Computer Operations, Communication","₹16,000 - ₹24,000",Full-time,0,Local employment opportunity,True
LOC0029,Customer Support Executive,City CustomerSupportExecutive Center,Coimbatore,"Peelamedu, Coimbatore, Tamil Nadu, India",11.0168,76.9558,"Communication, Customer Service, English, Problem Solving","₹18,000 - ₹28,000",Full-time,0,Local employment opportunity,True
LOC0030,Sales Executive,Regional SalesExecutive Technologies,Coimbatore,"Saibaba Colony, Coimbatore, Tamil Nadu, India",11.0168,76.9558,"Sales, Communication, Customer Service, Negotiation","₹18,000 - ₹30,000",Full-time,0,Local employment opportunity,True
LOC0031,Office Assistant,SkillBridge OfficeAssistant Business Hub,Coimbatore,"Singanallur, Coimbatore, Tamil Nadu, India",11.0168,76.9558,"MS Office, Excel, Data Entry, Communication","₹15,000 - ₹23,000",Full-time,0,Local employment opportunity,True
LOC0032,Account Assistant,Community AccountAssistant Employment Services,Coimbatore,"RS Puram, Coimbatore, Tamil Nadu, India",11.0168,76.9558,"Accounting, Tally, Excel, MS Office","₹20,000 - ₹32,000",Full-time,1,Local employment opportunity,True
LOC0033,Junior Accountant,Local JuniorAccountant Services,Coimbatore,"Gandhipuram, Coimbatore, Tamil Nadu, India",11.0168,76.9558,"Accounting, Tally, GST, Excel, Bookkeeping","₹22,000 - ₹35,000",Full-time,1,Local employment opportunity,True
LOC0034,Digital Marketing Executive,City DigitalMarketingExecutive Solutions,Coimbatore,"Peelamedu, Coimbatore, Tamil Nadu, India",11.0168,76.9558,"Digital Marketing, SEO, Social Media, Communication, Content Writing","₹20,000 - ₹35,000",Full-time,1,Local employment opportunity,True
LOC0035,Teacher,Regional Teacher Center,Coimbatore,"Saibaba Colony, Coimbatore, Tamil Nadu, India",11.0168,76.9558,"Teaching, Communication, Mathematics, Classroom Management","₹18,000 - ₹30,000",Full-time,0,Local employment opportunity,True
LOC0036,IT Support Technician,SkillBridge ITSupportTechnician Technologies,Coimbatore,"Singanallur, Coimbatore, Tamil Nadu, India",11.0168,76.9558,"Computer Hardware, Networking, Troubleshooting, Windows","₹22,000 - ₹38,000",Full-time,1,Local employment opportunity,True
LOC0037,Python Developer,Community PythonDeveloper Business Hub,Coimbatore,"RS Puram, Coimbatore, Tamil Nadu, India",11.0168,76.9558,"Python, SQL, Flask, Git, Communication","₹30,000 - ₹60,000",Full-time,1,Local employment opportunity,True
LOC0038,Web Developer,Local WebDeveloper Employment Services,Coimbatore,"Gandhipuram, Coimbatore, Tamil Nadu, India",11.0168,76.9558,"HTML, CSS, JavaScript, React, Git","₹25,000 - ₹50,000",Full-time,1,Local employment opportunity,True
LOC0039,Graphic Designer,City GraphicDesigner Services,Coimbatore,"Peelamedu, Coimbatore, Tamil Nadu, India",11.0168,76.9558,"Graphic Design, Photoshop, Illustrator, Creativity","₹20,000 - ₹40,000",Full-time,1,Local employment opportunity,True
LOC0040,Data Entry Operator,Community DataEntryOperator Services,Salem,"Fairlands, Salem, Tamil Nadu, India",11.6643,78.146,"MS Excel, MS Office, Data Entry, English Communication","₹15,000 - ₹22,000",Full-time,0,Local employment opportunity,True
LOC0041,Computer Operator,Local ComputerOperator Solutions,Salem,"Hasthampatti, Salem, Tamil Nadu, India",11.6643,78.146,"MS Office, Excel, Computer Operations, Communication","₹16,000 - ₹24,000",Full-time,0,Local employment opportunity,True
LOC0042,Customer Support Executive,City CustomerSupportExecutive Center,Salem,"Suramangalam, Salem, Tamil Nadu, India",11.6643,78.146,"Communication, Customer Service, English, Problem Solving","₹18,000 - ₹28,000",Full-time,0,Local employment opportunity,True
LOC0043,Sales Executive,Regional SalesExecutive Technologies,Salem,"Ammapet, Salem, Tamil Nadu, India",11.6643,78.146,"Sales, Communication, Customer Service, Negotiation","₹18,000 - ₹30,000",Full-time,0,Local employment opportunity,True
LOC0044,Office Assistant,SkillBridge OfficeAssistant Business Hub,Salem,"Swarnapuri, Salem, Tamil Nadu, India",11.6643,78.146,"MS Office, Excel, Data Entry, Communication","₹15,000 - ₹23,000",Full-time,0,Local employment opportunity,True
LOC0045,Account Assistant,Community AccountAssistant Employment Services,Salem,"Fairlands, Salem, Tamil Nadu, India",11.6643,78.146,"Accounting, Tally, Excel, MS Office","₹20,000 - ₹32,000",Full-time,1,Local employment opportunity,True
LOC0046,Junior Accountant,Local JuniorAccountant Services,Salem,"Hasthampatti, Salem, Tamil Nadu, India",11.6643,78.146,"Accounting, Tally, GST, Excel, Bookkeeping","₹22,000 - ₹35,000",Full-time,1,Local employment opportunity,True
LOC0047,Digital Marketing Executive,City DigitalMarketingExecutive Solutions,Salem,"Suramangalam, Salem, Tamil Nadu, India",11.6643,78.146,"Digital Marketing, SEO, Social Media, Communication, Content Writing","₹20,000 - ₹35,000",Full-time,1,Local employment opportunity,True
LOC0048,Teacher,Regional Teacher Center,Salem,"Ammapet, Salem, Tamil Nadu, India",11.6643,78.146,"Teaching, Communication, Mathematics, Classroom Management","₹18,000 - ₹30,000",Full-time,0,Local employment opportunity,True
LOC0049,IT Support Technician,SkillBridge ITSupportTechnician Technologies,Salem,"Swarnapuri, Salem, Tamil Nadu, India",11.6643,78.146,"Computer Hardware, Networking, Troubleshooting, Windows","₹22,000 - ₹38,000",Full-time,1,Local employment opportunity,True
LOC0050,Python Developer,Community PythonDeveloper Business Hub,Salem,"Fairlands, Salem, Tamil Nadu, India",11.6643,78.146,"Python, SQL, Flask, Git, Communication","₹30,000 - ₹60,000",Full-time,1,Local employment opportunity,True
LOC0051,Web Developer,Local WebDeveloper Employment Services,Salem,"Hasthampatti, Salem, Tamil Nadu, India",11.6643,78.146,"HTML, CSS, JavaScript, React, Git","₹25,000 - ₹50,000",Full-time,1,Local employment opportunity,True
LOC0052,Graphic Designer,City GraphicDesigner Services,Salem,"Suramangalam, Salem, Tamil Nadu, India",11.6643,78.146,"Graphic Design, Photoshop, Illustrator, Creativity","₹20,000 - ₹40,000",Full-time,1,Local employment opportunity,True
LOC0053,Data Entry Operator,Community DataEntryOperator Services,Tiruchirappalli,"Srirangam, Tiruchirappalli, Tamil Nadu, India",10.7905,78.7047,"MS Excel, MS Office, Data Entry, English Communication","₹15,000 - ₹22,000",Full-time,0,Local employment opportunity,True
LOC0054,Computer Operator,Local ComputerOperator Solutions,Tiruchirappalli,"Thillai Nagar, Tiruchirappalli, Tamil Nadu, India",10.7905,78.7047,"MS Office, Excel, Computer Operations, Communication","₹16,000 - ₹24,000",Full-time,0,Local employment opportunity,True
LOC0055,Customer Support Executive,City CustomerSupportExecutive Center,Tiruchirappalli,"Cantonment, Tiruchirappalli, Tamil Nadu, India",10.7905,78.7047,"Communication, Customer Service, English, Problem Solving","₹18,000 - ₹28,000",Full-time,0,Local employment opportunity,True
LOC0056,Sales Executive,Regional SalesExecutive Technologies,Tiruchirappalli,"Woraiyur, Tiruchirappalli, Tamil Nadu, India",10.7905,78.7047,"Sales, Communication, Customer Service, Negotiation","₹18,000 - ₹30,000",Full-time,0,Local employment opportunity,True
LOC0057,Office Assistant,SkillBridge OfficeAssistant Business Hub,Tiruchirappalli,"KK Nagar, Tiruchirappalli, Tamil Nadu, India",10.7905,78.7047,"MS Office, Excel, Data Entry, Communication","₹15,000 - ₹23,000",Full-time,0,Local employment opportunity,True
LOC0058,Account Assistant,Community AccountAssistant Employment Services,Tiruchirappalli,"Srirangam, Tiruchirappalli, Tamil Nadu, India",10.7905,78.7047,"Accounting, Tally, Excel, MS Office","₹20,000 - ₹32,000",Full-time,1,Local employment opportunity,True
LOC0059,Junior Accountant,Local JuniorAccountant Services,Tiruchirappalli,"Thillai Nagar, Tiruchirappalli, Tamil Nadu, India",10.7905,78.7047,"Accounting, Tally, GST, Excel, Bookkeeping","₹22,000 - ₹35,000",Full-time,1,Local employment opportunity,True
LOC0060,Digital Marketing Executive,City DigitalMarketingExecutive Solutions,Tiruchirappalli,"Cantonment, Tiruchirappalli, Tamil Nadu, India",10.7905,78.7047,"Digital Marketing, SEO, Social Media, Communication, Content Writing","₹20,000 - ₹35,000",Full-time,1,Local employment opportunity,True
LOC0061,Teacher,Regional Teacher Center,Tiruchirappalli,"Woraiyur, Tiruchirappalli, Tamil Nadu, India",10.7905,78.7047,"Teaching, Communication, Mathematics, Classroom Management","₹18,000 - ₹30,000",Full-time,0,Local employment opportunity,True
LOC0062,IT Support Technician,SkillBridge ITSupportTechnician Technologies,Tiruchirappalli,"KK Nagar, Tiruchirappalli, Tamil Nadu, India",10.7905,78.7047,"Computer Hardware, Networking, Troubleshooting, Windows","₹22,000 - ₹38,000",Full-time,1,Local employment opportunity,True
LOC0063,Python Developer,Community PythonDeveloper Business Hub,Tiruchirappalli,"Srirangam, Tiruchirappalli, Tamil Nadu, India",10.7905,78.7047,"Python, SQL, Flask, Git, Communication","₹30,000 - ₹60,000",Full-time,1,Local employment opportunity,True
LOC0064,Web Developer,Local WebDeveloper Employment Services,Tiruchirappalli,"Thillai Nagar, Tiruchirappalli, Tamil Nadu, India",10.7905,78.7047,"HTML, CSS, JavaScript, React, Git","₹25,000 - ₹50,000",Full-time,1,Local employment opportunity,True
LOC0065,Graphic Designer,City GraphicDesigner Services,Tiruchirappalli,"Cantonment, Tiruchirappalli, Tamil Nadu, India",10.7905,78.7047,"Graphic Design, Photoshop, Illustrator, Creativity","₹20,000 - ₹40,000",Full-time,1,Local employment opportunity,True
LOC0066,Data Entry Operator,Community DataEntryOperator Services,Tirunelveli,"Palayamkottai, Tirunelveli, Tamil Nadu, India",8.7139,77.7567,"MS Excel, MS Office, Data Entry, English Communication","₹15,000 - ₹22,000",Full-time,0,Local employment opportunity,True
LOC0067,Computer Operator,Local ComputerOperator Solutions,Tirunelveli,"Vannarpettai, Tirunelveli, Tamil Nadu, India",8.7139,77.7567,"MS Office, Excel, Computer Operations, Communication","₹16,000 - ₹24,000",Full-time,0,Local employment opportunity,True
LOC0068,Customer Support Executive,City CustomerSupportExecutive Center,Tirunelveli,"Perumalpuram, Tirunelveli, Tamil Nadu, India",8.7139,77.7567,"Communication, Customer Service, English, Problem Solving","₹18,000 - ₹28,000",Full-time,0,Local employment opportunity,True
LOC0069,Sales Executive,Regional SalesExecutive Technologies,Tirunelveli,"Maharaja Nagar, Tirunelveli, Tamil Nadu, India",8.7139,77.7567,"Sales, Communication, Customer Service, Negotiation","₹18,000 - ₹30,000",Full-time,0,Local employment opportunity,True
LOC0070,Office Assistant,SkillBridge OfficeAssistant Business Hub,Tirunelveli,"Tirunelveli Junction, Tirunelveli, Tamil Nadu, India",8.7139,77.7567,"MS Office, Excel, Data Entry, Communication","₹15,000 - ₹23,000",Full-time,0,Local employment opportunity,True
LOC0071,Account Assistant,Community AccountAssistant Employment Services,Tirunelveli,"Palayamkottai, Tirunelveli, Tamil Nadu, India",8.7139,77.7567,"Accounting, Tally, Excel, MS Office","₹20,000 - ₹32,000",Full-time,1,Local employment opportunity,True
LOC0072,Junior Accountant,Local JuniorAccountant Services,Tirunelveli,"Vannarpettai, Tirunelveli, Tamil Nadu, India",8.7139,77.7567,"Accounting, Tally, GST, Excel, Bookkeeping","₹22,000 - ₹35,000",Full-time,1,Local employment opportunity,True
LOC0073,Digital Marketing Executive,City DigitalMarketingExecutive Solutions,Tirunelveli,"Perumalpuram, Tirunelveli, Tamil Nadu, India",8.7139,77.7567,"Digital Marketing, SEO, Social Media, Communication, Content Writing","₹20,000 - ₹35,000",Full-time,1,Local employment opportunity,True
LOC0074,Teacher,Regional Teacher Center,Tirunelveli,"Maharaja Nagar, Tirunelveli, Tamil Nadu, India",8.7139,77.7567,"Teaching, Communication, Mathematics, Classroom Management","₹18,000 - ₹30,000",Full-time,0,Local employment opportunity,True
LOC0075,IT Support Technician,SkillBridge ITSupportTechnician Technologies,Tirunelveli,"Tirunelveli Junction, Tirunelveli, Tamil Nadu, India",8.7139,77.7567,"Computer Hardware, Networking, Troubleshooting, Windows","₹22,000 - ₹38,000",Full-time,1,Local employment opportunity,True
LOC0076,Python Developer,Community PythonDeveloper Business Hub,Tirunelveli,"Palayamkottai, Tirunelveli, Tamil Nadu, India",8.7139,77.7567,"Python, SQL, Flask, Git, Communication","₹30,000 - ₹60,000",Full-time,1,Local employment opportunity,True
LOC0077,Web Developer,Local WebDeveloper Employment Services,Tirunelveli,"Vannarpettai, Tirunelveli, Tamil Nadu, India",8.7139,77.7567,"HTML, CSS, JavaScript, React, Git","₹25,000 - ₹50,000",Full-time,1,Local employment opportunity,True
LOC0078,Graphic Designer,City GraphicDesigner Services,Tirunelveli,"Perumalpuram, Tirunelveli, Tamil Nadu, India",8.7139,77.7567,"Graphic Design, Photoshop, Illustrator, Creativity","₹20,000 - ₹40,000",Full-time,1,Local employment opportunity,True
LOC0079,Data Entry Operator,Community DataEntryOperator Services,Vellore,"Katpadi, Vellore, Tamil Nadu, India",12.9165,79.1325,"MS Excel, MS Office, Data Entry, English Communication","₹15,000 - ₹22,000",Full-time,0,Local employment opportunity,True
LOC0080,Computer Operator,Local ComputerOperator Solutions,Vellore,"Sathuvachari, Vellore, Tamil Nadu, India",12.9165,79.1325,"MS Office, Excel, Computer Operations, Communication","₹16,000 - ₹24,000",Full-time,0,Local employment opportunity,True
LOC0081,Customer Support Executive,City CustomerSupportExecutive Center,Vellore,"Gandhi Nagar, Vellore, Tamil Nadu, India",12.9165,79.1325,"Communication, Customer Service, English, Problem Solving","₹18,000 - ₹28,000",Full-time,0,Local employment opportunity,True
LOC0082,Sales Executive,Regional SalesExecutive Technologies,Vellore,"Thorapadi, Vellore, Tamil Nadu, India",12.9165,79.1325,"Sales, Communication, Customer Service, Negotiation","₹18,000 - ₹30,000",Full-time,0,Local employment opportunity,True
LOC0083,Office Assistant,SkillBridge OfficeAssistant Business Hub,Vellore,"Bagayam, Vellore, Tamil Nadu, India",12.9165,79.1325,"MS Office, Excel, Data Entry, Communication","₹15,000 - ₹23,000",Full-time,0,Local employment opportunity,True
LOC0084,Account Assistant,Community AccountAssistant Employment Services,Vellore,"Katpadi, Vellore, Tamil Nadu, India",12.9165,79.1325,"Accounting, Tally, Excel, MS Office","₹20,000 - ₹32,000",Full-time,1,Local employment opportunity,True
LOC0085,Junior Accountant,Local JuniorAccountant Services,Vellore,"Sathuvachari, Vellore, Tamil Nadu, India",12.9165,79.1325,"Accounting, Tally, GST, Excel, Bookkeeping","₹22,000 - ₹35,000",Full-time,1,Local employment opportunity,True
LOC0086,Digital Marketing Executive,City DigitalMarketingExecutive Solutions,Vellore,"Gandhi Nagar, Vellore, Tamil Nadu, India",12.9165,79.1325,"Digital Marketing, SEO, Social Media, Communication, Content Writing","₹20,000 - ₹35,000",Full-time,1,Local employment opportunity,True
LOC0087,Teacher,Regional Teacher Center,Vellore,"Thorapadi, Vellore, Tamil Nadu, India",12.9165,79.1325,"Teaching, Communication, Mathematics, Classroom Management","₹18,000 - ₹30,000",Full-time,0,Local employment opportunity,True
LOC0088,IT Support Technician,SkillBridge ITSupportTechnician Technologies,Vellore,"Bagayam, Vellore, Tamil Nadu, India",12.9165,79.1325,"Computer Hardware, Networking, Troubleshooting, Windows","₹22,000 - ₹38,000",Full-time,1,Local employment opportunity,True
LOC0089,Python Developer,Community PythonDeveloper Business Hub,Vellore,"Katpadi, Vellore, Tamil Nadu, India",12.9165,79.1325,"Python, SQL, Flask, Git, Communication","₹30,000 - ₹60,000",Full-time,1,Local employment opportunity,True
LOC0090,Web Developer,Local WebDeveloper Employment Services,Vellore,"Sathuvachari, Vellore, Tamil Nadu, India",12.9165,79.1325,"HTML, CSS, JavaScript, React, Git","₹25,000 - ₹50,000",Full-time,1,Local employment opportunity,True
LOC0091,Graphic Designer,City GraphicDesigner Services,Vellore,"Gandhi Nagar, Vellore, Tamil Nadu, India",12.9165,79.1325,"Graphic Design, Photoshop, Illustrator, Creativity","₹20,000 - ₹40,000",Full-time,1,Local employment opportunity,True
LOC0092,Data Entry Operator,Community DataEntryOperator Services,Bengaluru,"Whitefield, Bengaluru, Karnataka, India",12.9716,77.5946,"MS Excel, MS Office, Data Entry, English Communication","₹15,000 - ₹22,000",Full-time,0,Local employment opportunity,True
LOC0093,Computer Operator,Local ComputerOperator Solutions,Bengaluru,"Electronic City, Bengaluru, Karnataka, India",12.9716,77.5946,"MS Office, Excel, Computer Operations, Communication","₹16,000 - ₹24,000",Full-time,0,Local employment opportunity,True
LOC0094,Customer Support Executive,City CustomerSupportExecutive Center,Bengaluru,"Koramangala, Bengaluru, Karnataka, India",12.9716,77.5946,"Communication, Customer Service, English, Problem Solving","₹18,000 - ₹28,000",Full-time,0,Local employment opportunity,True
LOC0095,Sales Executive,Regional SalesExecutive Technologies,Bengaluru,"Indiranagar, Bengaluru, Karnataka, India",12.9716,77.5946,"Sales, Communication, Customer Service, Negotiation","₹18,000 - ₹30,000",Full-time,0,Local employment opportunity,True
LOC0096,Office Assistant,SkillBridge OfficeAssistant Business Hub,Bengaluru,"Yelahanka, Bengaluru, Karnataka, India",12.9716,77.5946,"MS Office, Excel, Data Entry, Communication","₹15,000 - ₹23,000",Full-time,0,Local employment opportunity,True
LOC0097,Account Assistant,Community AccountAssistant Employment Services,Bengaluru,"Whitefield, Bengaluru, Karnataka, India",12.9716,77.5946,"Accounting, Tally, Excel, MS Office","₹20,000 - ₹32,000",Full-time,1,Local employment opportunity,True
LOC0098,Junior Accountant,Local JuniorAccountant Services,Bengaluru,"Electronic City, Bengaluru, Karnataka, India",12.9716,77.5946,"Accounting, Tally, GST, Excel, Bookkeeping","₹22,000 - ₹35,000",Full-time,1,Local employment opportunity,True
LOC0099,Digital Marketing Executive,City DigitalMarketingExecutive Solutions,Bengaluru,"Koramangala, Bengaluru, Karnataka, India",12.9716,77.5946,"Digital Marketing, SEO, Social Media, Communication, Content Writing","₹20,000 - ₹35,000",Full-time,1,Local employment opportunity,True
LOC0100,Teacher,Regional Teacher Center,Bengaluru,"Indiranagar, Bengaluru, Karnataka, India",12.9716,77.5946,"Teaching, Communication, Mathematics, Classroom Management","₹18,000 - ₹30,000",Full-time,0,Local employment opportunity,True
LOC0101,IT Support Technician,SkillBridge ITSupportTechnician Technologies,Bengaluru,"Yelahanka, Bengaluru, Karnataka, India",12.9716,77.5946,"Computer Hardware, Networking, Troubleshooting, Windows","₹22,000 - ₹38,000",Full-time,1,Local employment opportunity,True
LOC0102,Python Developer,Community PythonDeveloper Business Hub,Bengaluru,"Whitefield, Bengaluru, Karnataka, India",12.9716,77.5946,"Python, SQL, Flask, Git, Communication","₹30,000 - ₹60,000",Full-time,1,Local employment opportunity,True
LOC0103,Web Developer,Local WebDeveloper Employment Services,Bengaluru,"Electronic City, Bengaluru, Karnataka, India",12.9716,77.5946,"HTML, CSS, JavaScript, React, Git","₹25,000 - ₹50,000",Full-time,1,Local employment opportunity,True
LOC0104,Graphic Designer,City GraphicDesigner Services,Bengaluru,"Koramangala, Bengaluru, Karnataka, India",12.9716,77.5946,"Graphic Design, Photoshop, Illustrator, Creativity","₹20,000 - ₹40,000",Full-time,1,Local employment opportunity,True
LOC0105,Data Entry Operator,Community DataEntryOperator Services,Hyderabad,"Ameerpet, Hyderabad, Telangana, India",17.385,78.4867,"MS Excel, MS Office, Data Entry, English Communication","₹15,000 - ₹22,000",Full-time,0,Local employment opportunity,True
LOC0106,Computer Operator,Local ComputerOperator Solutions,Hyderabad,"Madhapur, Hyderabad, Telangana, India",17.385,78.4867,"MS Office, Excel, Computer Operations, Communication","₹16,000 - ₹24,000",Full-time,0,Local employment opportunity,True
LOC0107,Customer Support Executive,City CustomerSupportExecutive Center,Hyderabad,"Kukatpally, Hyderabad, Telangana, India",17.385,78.4867,"Communication, Customer Service, English, Problem Solving","₹18,000 - ₹28,000",Full-time,0,Local employment opportunity,True
LOC0108,Sales Executive,Regional SalesExecutive Technologies,Hyderabad,"Gachibowli, Hyderabad, Telangana, India",17.385,78.4867,"Sales, Communication, Customer Service, Negotiation","₹18,000 - ₹30,000",Full-time,0,Local employment opportunity,True
LOC0109,Office Assistant,SkillBridge OfficeAssistant Business Hub,Hyderabad,"Secunderabad, Hyderabad, Telangana, India",17.385,78.4867,"MS Office, Excel, Data Entry, Communication","₹15,000 - ₹23,000",Full-time,0,Local employment opportunity,True
LOC0110,Account Assistant,Community AccountAssistant Employment Services,Hyderabad,"Ameerpet, Hyderabad, Telangana, India",17.385,78.4867,"Accounting, Tally, Excel, MS Office","₹20,000 - ₹32,000",Full-time,1,Local employment opportunity,True
LOC0111,Junior Accountant,Local JuniorAccountant Services,Hyderabad,"Madhapur, Hyderabad, Telangana, India",17.385,78.4867,"Accounting, Tally, GST, Excel, Bookkeeping","₹22,000 - ₹35,000",Full-time,1,Local employment opportunity,True
LOC0112,Digital Marketing Executive,City DigitalMarketingExecutive Solutions,Hyderabad,"Kukatpally, Hyderabad, Telangana, India",17.385,78.4867,"Digital Marketing, SEO, Social Media, Communication, Content Writing","₹20,000 - ₹35,000",Full-time,1,Local employment opportunity,True
