job_id,job_title,company,location,skills,salary,employment_type,experience_text,experience_years,job_text,skills_clean,job_text_clean,esco_skills,esco_skill_ids,matched_skill_count,original_skill_count,skill_match_percentage,matching_text
11,,Lishanth Enterprises,Vijayawada,Client Relationship Management (CRM)Sales ManagementSales SupportCustomer SupportSales Strategy,"₹ 10,00,000 - 12,00,000 /year",,1 year(s),1.0,Lishanth Enterprises Vijayawada Client Relationship Management (CRM)Sales ManagementSales SupportCustomer SupportSales Strategy 1 year(s),client relationship management (crm)sales managementsales supportcustomer supportsales strategy,lishanth enterprises vijayawada client relationship management (crm)sales managementsales supportcustomer supportsales strategy 1 year(s),r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b,1,1,100.0,lishanth enterprises vijayawada client relationship management (crm)sales managementsales supportcustomer supportsales strategy r
12,,Belstar MicroFinance Limited,Chennai,AccountingFinancial planningFinancial Reporting,"₹ 8,00,000 - 12,00,000 /year",,1 year(s),1.0,Belstar MicroFinance Limited Chennai AccountingFinancial planningFinancial Reporting 1 year(s),accountingfinancial planningfinancial reporting,belstar microfinance limited chennai accountingfinancial planningfinancial reporting 1 year(s),accounting; plan; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a; http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,3,1,300.0,belstar microfinance limited chennai accountingfinancial planningfinancial reporting accounting; plan; r
13,,California Burrito,Bangalore,Video Editing,"₹ 7,00,000 - 8,00,000 /year",,1 year(s),1.0,California Burrito Bangalore Video Editing 1 year(s),video editing,california burrito bangalore video editing 1 year(s),,,0,1,0.0,california burrito bangalore video editing
14,,NYX,Work from home,NegotiationDigital MarketingClient Relationship Management (CRM)Client RelationshipLinkedIn MarketingBusiness DevelopmentGoogle Workspace+5 more,"₹ 6,00,000 /year",,1 year(s),1.0,NYX Work from home NegotiationDigital MarketingClient Relationship Management (CRM)Client RelationshipLinkedIn MarketingBusiness DevelopmentGoogle Workspace+5 more 1 year(s),negotiationdigital marketingclient relationship management (crm)client relationshiplinkedin marketingbusiness developmentgoogle workspace+5 more,nyx work from home negotiationdigital marketingclient relationship management (crm)client relationshiplinkedin marketingbusiness developmentgoogle workspace+5 more 1 year(s),r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b,1,1,100.0,nyx work from home negotiationdigital marketingclient relationship management (crm)client relationshiplinkedin marketingbusiness developmentgoogle workspace+5 more r
15,,Bhanzu (Formerly Exploring Infinities),Work from home,"Social Media MarketingPresentation skillsEmail MarketingMS-Excel, English Proficiency (Spoken)SalesEffective Communication","₹ 5,80,000 - 6,00,000 /year",,1 year(s),1.0,"Bhanzu (Formerly Exploring Infinities) Work from home Social Media MarketingPresentation skillsEmail MarketingMS-Excel, English Proficiency (Spoken)SalesEffective Communication 1 year(s)","social media marketingpresentation skillsemail marketingms-excel, english proficiency (spoken)saleseffective communication","bhanzu (formerly exploring infinities) work from home social media marketingpresentation skillsemail marketingms-excel, english proficiency (spoken)saleseffective communication 1 year(s)",communication; english; r; ski,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7; http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0; http://data.europa.eu/esco/skill/a9ae583b-176c-4774-afcf-3f541400a1fd,4,2,200.0,"bhanzu (formerly exploring infinities) work from home social media marketingpresentation skillsemail marketingms-excel, english proficiency (spoken)saleseffective communication communication; english; r; ski"
16,,Confederation Of Indian Industry (CII),"Coimbatore, Madurai, Visakhapatnam",Effective Communication,"₹ 5,50,000 - 6,50,000 /year",,1 year(s),1.0,"Confederation Of Indian Industry (CII) Coimbatore, Madurai, Visakhapatnam Effective Communication 1 year(s)",effective communication,"confederation of indian industry (cii) coimbatore, madurai, visakhapatnam effective communication 1 year(s)",communication,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7,1,1,100.0,"confederation of indian industry (cii) coimbatore, madurai, visakhapatnam effective communication communication"
17,,SpotOnMedia,Work from home,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more","₹ 5,06,000 - 6,40,500 /year",,1 year(s),1.0,"SpotOnMedia Work from home MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more 1 year(s)","ms-office, ms-excelclient relationship management (crm)client relationshipenglish proficiency (spoken)english proficiency (written)hindi proficiency (spoken)+1 more","spotonmedia work from home ms-office, ms-excelclient relationship management (crm)client relationshipenglish proficiency (spoken)english proficiency (written)hindi proficiency (spoken)+1 more 1 year(s)",english; hindi; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0; http://data.europa.eu/esco/skill/d93a7370-bf56-43f5-be54-e108f8ec3107,3,2,150.0,"spotonmedia work from home ms-office, ms-excelclient relationship management (crm)client relationshipenglish proficiency (spoken)english proficiency (written)hindi proficiency (spoken)+1 more english; hindi; r"
18,,WWF India,Hyderabad,Client InteractionPublic SpeakingSalesMarketingCustomer Acquisition,"₹ 5,00,000 - 6,50,000 /year",,1 year(s),1.0,WWF India Hyderabad Client InteractionPublic SpeakingSalesMarketingCustomer Acquisition 1 year(s),client interactionpublic speakingsalesmarketingcustomer acquisition,wwf india hyderabad client interactionpublic speakingsalesmarketingcustomer acquisition 1 year(s),r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b,1,1,100.0,wwf india hyderabad client interactionpublic speakingsalesmarketingcustomer acquisition r
19,,Bhanzu (Formerly Exploring Infinities),Bangalore,"MS-Excel, English Proficiency (Spoken)English Proficiency (Written)SalesEffective CommunicationSales Strategy","₹ 4,60,000 - 4,80,000 /year",,0 year(s),0.0,"Bhanzu (Formerly Exploring Infinities) Bangalore MS-Excel, English Proficiency (Spoken)English Proficiency (Written)SalesEffective CommunicationSales Strategy 0 year(s)","ms-excel, english proficiency (spoken)english proficiency (written)saleseffective communicationsales strategy","bhanzu (formerly exploring infinities) bangalore ms-excel, english proficiency (spoken)english proficiency (written)saleseffective communicationsales strategy 0 year(s)",communication; english; r,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7; http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,3,2,150.0,"bhanzu (formerly exploring infinities) bangalore ms-excel, english proficiency (spoken)english proficiency (written)saleseffective communicationsales strategy communication; english; r"
20,,Bhanzu (Formerly Exploring Infinities),Bangalore,English Proficiency (Spoken)English Proficiency (Written)Interpersonal skills,"₹ 4,60,000 /year",,0 year(s),0.0,Bhanzu (Formerly Exploring Infinities) Bangalore English Proficiency (Spoken)English Proficiency (Written)Interpersonal skills 0 year(s),english proficiency (spoken)english proficiency (written)interpersonal skills,bhanzu (formerly exploring infinities) bangalore english proficiency (spoken)english proficiency (written)interpersonal skills 0 year(s),english; r; ski,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0; http://data.europa.eu/esco/skill/a9ae583b-176c-4774-afcf-3f541400a1fd,3,1,300.0,bhanzu (formerly exploring infinities) bangalore english proficiency (spoken)english proficiency (written)interpersonal skills english; r; ski
21,,Fitelo,Work from home,Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Effective Communication,"₹ 4,50,000 - 6,00,000 /year",,1 year(s),1.0,Fitelo Work from home Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Effective Communication 1 year(s),client relationshipenglish proficiency (spoken)english proficiency (written)effective communication,fitelo work from home client relationshipenglish proficiency (spoken)english proficiency (written)effective communication 1 year(s),communication; english; r,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7; http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,3,1,300.0,fitelo work from home client relationshipenglish proficiency (spoken)english proficiency (written)effective communication communication; english; r
22,,Faff,Bangalore,Time ManagementProblem SolvingCoordinationAdaptabilityEffective CommunicationConflict Management,"₹ 4,20,000 - 6,80,000 /year",,0 year(s),0.0,Faff Bangalore Time ManagementProblem SolvingCoordinationAdaptabilityEffective CommunicationConflict Management 0 year(s),time managementproblem solvingcoordinationadaptabilityeffective communicationconflict management,faff bangalore time managementproblem solvingcoordinationadaptabilityeffective communicationconflict management 0 year(s),communication; conflict management; r,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7; http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/afd49651-9119-4327-91fc-844a6dda1254,3,1,300.0,faff bangalore time managementproblem solvingcoordinationadaptabilityeffective communicationconflict management communication; conflict management; r
23,,Netcore Cloud,"Thane, Mumbai",HTMLLinuxMS SQL Server,"₹ 4,10,000 - 5,00,000 /year",,0 year(s),0.0,"Netcore Cloud Thane, Mumbai HTMLLinuxMS SQL Server 0 year(s)",htmllinuxms sql server,"netcore cloud thane, mumbai htmllinuxms sql server 0 year(s)",r; sql; sql server,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742; http://data.europa.eu/esco/skill/c062bab3-3ea0-4291-9220-a2d8fef4bead,3,1,300.0,"netcore cloud thane, mumbai htmllinuxms sql server r; sql; sql server"
24,,SpotOnMedia,Work from home,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more","₹ 4,02,000 - 5,61,500 /year",,1 year(s),1.0,"SpotOnMedia Work from home MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more 1 year(s)","ms-office, ms-excelclient relationship management (crm)client relationshipenglish proficiency (spoken)english proficiency (written)hindi proficiency (spoken)+1 more","spotonmedia work from home ms-office, ms-excelclient relationship management (crm)client relationshipenglish proficiency (spoken)english proficiency (written)hindi proficiency (spoken)+1 more 1 year(s)",english; hindi; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0; http://data.europa.eu/esco/skill/d93a7370-bf56-43f5-be54-e108f8ec3107,3,2,150.0,"spotonmedia work from home ms-office, ms-excelclient relationship management (crm)client relationshipenglish proficiency (spoken)english proficiency (written)hindi proficiency (spoken)+1 more english; hindi; r"
25,,NoBroker Technologies Solutions Private Limited,Bangalore,Cold CallingInside SalesBusiness DevelopmentSales,"₹ 4,00,000 - 6,30,000 /year",,1 year(s),1.0,NoBroker Technologies Solutions Private Limited Bangalore Cold CallingInside SalesBusiness DevelopmentSales 1 year(s),cold callinginside salesbusiness developmentsales,nobroker technologies solutions private limited bangalore cold callinginside salesbusiness developmentsales 1 year(s),,,0,1,0.0,nobroker technologies solutions private limited bangalore cold callinginside salesbusiness developmentsales
26,,Imarticus Learning,"Mumbai, Noida",Content WritingMS-WordMS-PowerPointStoryboardingMS-ExcelContent ManagementDesign Thinking+3 more,"₹ 4,00,000 - 6,00,000 /year",,1 year(s),1.0,"Imarticus Learning Mumbai, Noida Content WritingMS-WordMS-PowerPointStoryboardingMS-ExcelContent ManagementDesign Thinking+3 more 1 year(s)",content writingms-wordms-powerpointstoryboardingms-excelcontent managementdesign thinking+3 more,"imarticus learning mumbai, noida content writingms-wordms-powerpointstoryboardingms-excelcontent managementdesign thinking+3 more 1 year(s)",design thinking; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/df64a7cc-2e96-4304-95d3-56fe0ac2dd39,2,1,200.0,"imarticus learning mumbai, noida content writingms-wordms-powerpointstoryboardingms-excelcontent managementdesign thinking+3 more design thinking; r"
27,,WWF India,Chennai,Public SpeakingSalesMarketing,"₹ 4,00,000 - 5,00,000 /year",,0 year(s),0.0,WWF India Chennai Public SpeakingSalesMarketing 0 year(s),public speakingsalesmarketing,wwf india chennai public speakingsalesmarketing 0 year(s),r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b,1,1,100.0,wwf india chennai public speakingsalesmarketing r
28,,Duroflex Private Limited,Hosur,Planning,"₹ 4,00,000 - 5,00,000 /year",,0 year(s),0.0,Duroflex Private Limited Hosur Planning 0 year(s),planning,duroflex private limited hosur planning 0 year(s),plan,http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a,1,1,100.0,duroflex private limited hosur planning plan
29,,GlobalStep Services Private Limited,Pune,RecruitmentResume screeningInterview Coordination,"₹ 4,00,000 - 5,00,000 /year",,1 year(s),1.0,GlobalStep Services Private Limited Pune RecruitmentResume screeningInterview Coordination 1 year(s),recruitmentresume screeninginterview coordination,globalstep services private limited pune recruitmentresume screeninginterview coordination 1 year(s),r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b,1,1,100.0,globalstep services private limited pune recruitmentresume screeninginterview coordination r
30,,LeapScholar,Work from home,TeachingEnglish Proficiency (Spoken)English Proficiency (Written)Online Teaching,"₹ 4,00,000 /year",,1 year(s),1.0,LeapScholar Work from home TeachingEnglish Proficiency (Spoken)English Proficiency (Written)Online Teaching 1 year(s),teachingenglish proficiency (spoken)english proficiency (written)online teaching,leapscholar work from home teachingenglish proficiency (spoken)english proficiency (written)online teaching 1 year(s),english; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,2,1,200.0,leapscholar work from home teachingenglish proficiency (spoken)english proficiency (written)online teaching english; r
31,,CREO,Bangalore,Adobe PhotoshopAdobe IllustratorAdobe InDesignCanvaFigma,"₹ 3,90,000 /year",,0 year(s),0.0,CREO Bangalore Adobe PhotoshopAdobe IllustratorAdobe InDesignCanvaFigma 0 year(s),adobe photoshopadobe illustratoradobe indesigncanvafigma,creo bangalore adobe photoshopadobe illustratoradobe indesigncanvafigma 0 year(s),adobe illustrator; adobe photoshop; r,http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0; http://data.europa.eu/esco/skill/27b913f0-3c52-448b-ad27-fc6ef08fb326; http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b,3,1,300.0,creo bangalore adobe photoshopadobe illustratoradobe indesigncanvafigma adobe illustrator; adobe photoshop; r
32,,IDFC First Bank,"Kolkata, Barasat (Hybrid)",Lead GenerationSalesField Sales,"₹ 3,80,000 - 6,40,000 /year",,0 year(s),0.0,"IDFC First Bank Kolkata, Barasat (Hybrid) Lead GenerationSalesField Sales 0 year(s)",lead generationsalesfield sales,"idfc first bank kolkata, barasat (hybrid) lead generationsalesfield sales 0 year(s)",r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b,1,1,100.0,"idfc first bank kolkata, barasat (hybrid) lead generationsalesfield sales r"
33,,NJ India Invest Private Limited,Surat,SalesEffective Communication,"₹ 3,75,000 - 4,20,000 /year",,0 year(s),0.0,NJ India Invest Private Limited Surat SalesEffective Communication 0 year(s),saleseffective communication,nj india invest private limited surat saleseffective communication 0 year(s),communication,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7,1,1,100.0,nj india invest private limited surat saleseffective communication communication
34,,Ashiana Housing Limited,Bhiwadi,Data AnalyticsMS-ExcelData entryPower BIData Analysis,"₹ 3,60,000 - 4,20,000 /year",,1 year(s),1.0,Ashiana Housing Limited Bhiwadi Data AnalyticsMS-ExcelData entryPower BIData Analysis 1 year(s),data analyticsms-exceldata entrypower bidata analysis,ashiana housing limited bhiwadi data analyticsms-exceldata entrypower bidata analysis 1 year(s),data analytics; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378,2,1,200.0,ashiana housing limited bhiwadi data analyticsms-exceldata entrypower bidata analysis data analytics; r
35,,California Burrito,Bangalore,BrandingUI & UX DesignInterior designGraphic DesignDigital IllustrationMotion Graphics,"₹ 3,50,000 - 4,00,000 /year",,0 year(s),0.0,California Burrito Bangalore BrandingUI & UX DesignInterior designGraphic DesignDigital IllustrationMotion Graphics 0 year(s),brandingui & ux designinterior designgraphic designdigital illustrationmotion graphics,california burrito bangalore brandingui & ux designinterior designgraphic designdigital illustrationmotion graphics 0 year(s),graphic design; motion graphics; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/7fb699d9-182a-430e-b7a0-6d8ed05c284b; http://data.europa.eu/esco/skill/8afe68ff-b261-4fa8-ab25-bb30b0e5c292,3,1,300.0,california burrito bangalore brandingui & ux designinterior designgraphic designdigital illustrationmotion graphics graphic design; motion graphics; r
36,,Medi Assist Healthcare Private Limited,Mumbai,Medical Terminology,"₹ 3,40,000 - 4,50,000 /year",,0 year(s),0.0,Medi Assist Healthcare Private Limited Mumbai Medical Terminology 0 year(s),medical terminology,medi assist healthcare private limited mumbai medical terminology 0 year(s),medical terminology; r; terminology,http://data.europa.eu/esco/skill/2806260f-6399-4add-8f11-070141423f9d; http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/b6f26b50-3914-46ff-8f88-3defb71e007a,3,1,300.0,medi assist healthcare private limited mumbai medical terminology medical terminology; r; terminology
37,,Urban Company,Bangalore,"MS-Excel, English Proficiency (Spoken)","₹ 3,36,000 - 6,00,000 /year",,0 year(s),0.0,"Urban Company Bangalore MS-Excel, English Proficiency (Spoken) 0 year(s)","ms-excel, english proficiency (spoken)","urban company bangalore ms-excel, english proficiency (spoken) 0 year(s)",english; r,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b; http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,2,2,100.0,"urban company bangalore ms-excel, english proficiency (spoken) english; r"
