resume_id,job_id,job_title,company,ai_match_percentage,total_job_skills,matched_skill_count,skill_match_percentage,matched_skills,skill_gaps,skill_gap_count
8,9,,Internshala,31.37,1,1,100.0,communication english r,negotiationproblem solvingenglish proficiency spoken saleseffective communication,1
8,10,,Internshala,31.37,1,1,100.0,communication english r,negotiationproblem solvingenglish proficiency spoken saleseffective communication,1
9,39,,KnowledgeWorks Global Limited,45.44,1,1,100.0,english r,english proficiency spoken english proficiency written,1
9,1,,Calipers Consulting Private Limited,40.16,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
9,50,,Webvio Technologies,39.45,1,1,100.0,english logging r,bloggingsearch engine optimization seo creative writingproofreadingenglish proficiency written research and analytics,1
9,5,,SREEDHARA ENTERPRISES,37.88,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
9,43,,Mintifi Finserve Private Limited,36.95,3,1,33.33,english r,"english proficiency spoken, ms-excel, ms-office",3
9,3,,Modtraa Design And Creation Incorporation,35.71,2,1,50.0,communication english r ski,"english proficiency spoken english proficiency written kannada proficiency spoken interpersonal skillseffective communication, presentation skillsms-excel",2
9,37,,Urban Company,35.53,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
9,9,,Internshala,34.06,1,1,100.0,communication english r,negotiationproblem solvingenglish proficiency spoken saleseffective communication,1
9,10,,Internshala,34.06,1,1,100.0,communication english r,negotiationproblem solvingenglish proficiency spoken saleseffective communication,1
9,17,,SpotOnMedia,33.95,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
10,7,,Leafoberryy,48.77,1,1,100.0,communication data analytics r,leadershipteam managemente-commercedata analyticsmentorshipb2b saleseffective communication+2 more,1
10,39,,KnowledgeWorks Global Limited,46.62,1,1,100.0,english r,english proficiency spoken english proficiency written,1
10,1,,Calipers Consulting Private Limited,46.2,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
10,37,,Urban Company,43.35,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
10,5,,SREEDHARA ENTERPRISES,42.01,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
10,38,,Urban Company Ltd.,41.47,2,1,50.0,english r,"english proficiency written, ms-excel",2
10,34,,Ashiana Housing Limited,40.95,1,1,100.0,data analytics r,data analyticsms-exceldata entrypower bidata analysis,1
10,43,,Mintifi Finserve Private Limited,40.45,3,1,33.33,english r,"english proficiency spoken, ms-excel, ms-office",3
10,17,,SpotOnMedia,38.7,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
10,24,,SpotOnMedia,38.7,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
11,1,,Calipers Consulting Private Limited,48.02,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
11,3,,Modtraa Design And Creation Incorporation,47.88,2,1,50.0,communication english r ski,"english proficiency spoken english proficiency written kannada proficiency spoken interpersonal skillseffective communication, presentation skillsms-excel",2
11,43,,Mintifi Finserve Private Limited,47.01,3,1,33.33,english r,"english proficiency spoken, ms-excel, ms-office",3
11,5,,SREEDHARA ENTERPRISES,45.63,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
11,39,,KnowledgeWorks Global Limited,43.7,1,1,100.0,english r,english proficiency spoken english proficiency written,1
11,37,,Urban Company,42.85,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
11,50,,Webvio Technologies,40.28,1,1,100.0,english logging r,bloggingsearch engine optimization seo creative writingproofreadingenglish proficiency written research and analytics,1
11,38,,Urban Company Ltd.,38.03,2,1,50.0,english r,"english proficiency written, ms-excel",2
11,9,,Internshala,37.51,1,1,100.0,communication english r,negotiationproblem solvingenglish proficiency spoken saleseffective communication,1
11,10,,Internshala,37.51,1,1,100.0,communication english r,negotiationproblem solvingenglish proficiency spoken saleseffective communication,1
12,1,,Calipers Consulting Private Limited,45.08,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
12,4,,CCL Advisors,41.73,1,1,100.0,legal research r,legal researchcompany lawlegal draftingstatutory complianceslegal writingcontract management,1
12,43,,Mintifi Finserve Private Limited,41.39,3,1,33.33,english r,"english proficiency spoken, ms-excel, ms-office",3
12,17,,SpotOnMedia,38.35,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
12,24,,SpotOnMedia,38.35,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
12,5,,SREEDHARA ENTERPRISES,37.66,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
12,39,,KnowledgeWorks Global Limited,35.65,1,1,100.0,english r,english proficiency spoken english proficiency written,1
12,29,,GlobalStep Services Private Limited,34.11,1,1,100.0,r,recruitmentresume screeninginterview coordination,1
12,37,,Urban Company,33.19,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
12,7,,Leafoberryy,32.81,1,1,100.0,communication data analytics r,leadershipteam managemente-commercedata analyticsmentorshipb2b saleseffective communication+2 more,1
13,43,,Mintifi Finserve Private Limited,55.96,3,1,33.33,english r,"english proficiency spoken, ms-excel, ms-office",3
13,5,,SREEDHARA ENTERPRISES,52.22,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
13,37,,Urban Company,50.98,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
13,39,,KnowledgeWorks Global Limited,48.21,1,1,100.0,english r,english proficiency spoken english proficiency written,1
13,38,,Urban Company Ltd.,47.42,2,1,50.0,english r,"english proficiency written, ms-excel",2
13,26,,Imarticus Learning,44.26,1,1,100.0,design thinking r,content writingms-wordms-powerpointstoryboardingms-excelcontent managementdesign thinking+3 more,1
13,3,,Modtraa Design And Creation Incorporation,43.96,2,1,50.0,communication english r ski,"english proficiency spoken english proficiency written kannada proficiency spoken interpersonal skillseffective communication, presentation skillsms-excel",2
13,1,,Calipers Consulting Private Limited,43.81,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
13,7,,Leafoberryy,43.2,1,1,100.0,communication data analytics r,leadershipteam managemente-commercedata analyticsmentorshipb2b saleseffective communication+2 more,1
13,29,,GlobalStep Services Private Limited,41.98,1,1,100.0,r,recruitmentresume screeninginterview coordination,1
14,5,,SREEDHARA ENTERPRISES,51.34,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
14,39,,KnowledgeWorks Global Limited,49.67,1,1,100.0,english r,english proficiency spoken english proficiency written,1
14,37,,Urban Company,46.15,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
14,1,,Calipers Consulting Private Limited,45.98,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
14,38,,Urban Company Ltd.,44.89,2,1,50.0,english r,"english proficiency written, ms-excel",2
14,43,,Mintifi Finserve Private Limited,43.75,3,1,33.33,english r,"english proficiency spoken, ms-excel, ms-office",3
14,7,,Leafoberryy,43.66,1,1,100.0,communication data analytics r,leadershipteam managemente-commercedata analyticsmentorshipb2b saleseffective communication+2 more,1
14,3,,Modtraa Design And Creation Incorporation,41.56,2,1,50.0,communication english r ski,"english proficiency spoken english proficiency written kannada proficiency spoken interpersonal skillseffective communication, presentation skillsms-excel",2
14,50,,Webvio Technologies,41.53,1,1,100.0,english logging r,bloggingsearch engine optimization seo creative writingproofreadingenglish proficiency written research and analytics,1
14,49,,Cloudnine Hospital,40.62,2,1,50.0,english r,"english proficiency written canvapivot tablevlookup, ms-excel",2
15,5,,SREEDHARA ENTERPRISES,56.68,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
15,43,,Mintifi Finserve Private Limited,51.99,3,1,33.33,english r,"english proficiency spoken, ms-excel, ms-office",3
15,37,,Urban Company,51.42,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
15,3,,Modtraa Design And Creation Incorporation,51.32,2,1,50.0,communication english r ski,"english proficiency spoken english proficiency written kannada proficiency spoken interpersonal skillseffective communication, presentation skillsms-excel",2
15,38,,Urban Company Ltd.,49.25,2,1,50.0,english r,"english proficiency written, ms-excel",2
15,1,,Calipers Consulting Private Limited,48.54,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
15,39,,KnowledgeWorks Global Limited,44.05,1,1,100.0,english r,english proficiency spoken english proficiency written,1
15,35,,California Burrito,41.75,1,1,100.0,graphic design motion graphics r,brandingui ux designinterior designgraphic designdigital illustrationmotion graphics,1
15,21,,Fitelo,41.23,1,1,100.0,communication english r,client relationshipenglish proficiency spoken english proficiency written effective communication,1
15,47,,Scaler,40.02,1,1,100.0,communication english hindi r,english proficiency spoken hindi proficiency spoken effective communication,1
16,5,,SREEDHARA ENTERPRISES,43.83,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
16,1,,Calipers Consulting Private Limited,43.6,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
16,43,,Mintifi Finserve Private Limited,42.88,3,1,33.33,english r,"english proficiency spoken, ms-excel, ms-office",3
16,39,,KnowledgeWorks Global Limited,38.67,1,1,100.0,english r,english proficiency spoken english proficiency written,1
16,37,,Urban Company,37.71,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
16,29,,GlobalStep Services Private Limited,35.25,1,1,100.0,r,recruitmentresume screeninginterview coordination,1
16,26,,Imarticus Learning,35.12,1,1,100.0,design thinking r,content writingms-wordms-powerpointstoryboardingms-excelcontent managementdesign thinking+3 more,1
16,38,,Urban Company Ltd.,34.98,2,1,50.0,english r,"english proficiency written, ms-excel",2
16,44,,Starcrest Services Pvt. Ltd.,34.09,1,1,100.0,r,ms-officerecruitment,1
16,3,,Modtraa Design And Creation Incorporation,33.9,2,1,50.0,communication english r ski,"english proficiency spoken english proficiency written kannada proficiency spoken interpersonal skillseffective communication, presentation skillsms-excel",2
17,1,,Calipers Consulting Private Limited,58.93,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
17,5,,SREEDHARA ENTERPRISES,58.26,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
17,43,,Mintifi Finserve Private Limited,56.72,3,1,33.33,english r,"english proficiency spoken, ms-excel, ms-office",3
17,7,,Leafoberryy,53.3,1,1,100.0,communication data analytics r,leadershipteam managemente-commercedata analyticsmentorshipb2b saleseffective communication+2 more,1
17,17,,SpotOnMedia,52.03,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
17,24,,SpotOnMedia,52.03,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
17,37,,Urban Company,50.9,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
17,39,,KnowledgeWorks Global Limited,50.89,1,1,100.0,english r,english proficiency spoken english proficiency written,1
17,12,,Belstar MicroFinance Limited,50.42,1,1,100.0,accounting plan r,accountingfinancial planningfinancial reporting,1
17,3,,Modtraa Design And Creation Incorporation,47.97,2,1,50.0,communication english r ski,"english proficiency spoken english proficiency written kannada proficiency spoken interpersonal skillseffective communication, presentation skillsms-excel",2
18,5,,SREEDHARA ENTERPRISES,41.61,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
18,43,,Mintifi Finserve Private Limited,41.07,3,1,33.33,english r,"english proficiency spoken, ms-excel, ms-office",3
18,1,,Calipers Consulting Private Limited,40.96,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
18,29,,GlobalStep Services Private Limited,39.77,1,1,100.0,r,recruitmentresume screeninginterview coordination,1
18,3,,Modtraa Design And Creation Incorporation,37.49,2,1,50.0,communication english r ski,"english proficiency spoken english proficiency written kannada proficiency spoken interpersonal skillseffective communication, presentation skillsms-excel",2
18,39,,KnowledgeWorks Global Limited,36.7,1,1,100.0,english r,english proficiency spoken english proficiency written,1
18,37,,Urban Company,36.64,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
18,6,,Godrej Capital,34.53,1,1,100.0,communication r,ms-officems-powerpointms-exceleffective communication,1
18,4,,CCL Advisors,34.23,1,1,100.0,legal research r,legal researchcompany lawlegal draftingstatutory complianceslegal writingcontract management,1
18,8,,YES Italy Edutech Pvt. Ltd.,32.25,1,1,100.0,english r,lead generationsales managementenglish proficiency spoken sales,1
19,1,,Calipers Consulting Private Limited,62.38,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
19,43,,Mintifi Finserve Private Limited,59.85,3,1,33.33,english r,"english proficiency spoken, ms-excel, ms-office",3
19,5,,SREEDHARA ENTERPRISES,58.48,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
19,39,,KnowledgeWorks Global Limited,55.47,1,1,100.0,english r,english proficiency spoken english proficiency written,1
19,37,,Urban Company,52.91,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
19,17,,SpotOnMedia,50.82,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
19,24,,SpotOnMedia,50.82,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
19,7,,Leafoberryy,49.76,1,1,100.0,communication data analytics r,leadershipteam managemente-commercedata analyticsmentorshipb2b saleseffective communication+2 more,1
19,38,,Urban Company Ltd.,48.07,2,1,50.0,english r,"english proficiency written, ms-excel",2
19,26,,Imarticus Learning,47.74,1,1,100.0,design thinking r,content writingms-wordms-powerpointstoryboardingms-excelcontent managementdesign thinking+3 more,1
20,1,,Calipers Consulting Private Limited,52.43,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
20,43,,Mintifi Finserve Private Limited,49.56,3,1,33.33,english r,"english proficiency spoken, ms-excel, ms-office",3
20,5,,SREEDHARA ENTERPRISES,47.3,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
20,39,,KnowledgeWorks Global Limited,46.52,1,1,100.0,english r,english proficiency spoken english proficiency written,1
20,37,,Urban Company,44.57,2,1,50.0,english r,"english proficiency spoken, ms-excel",2
20,17,,SpotOnMedia,44.47,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
20,24,,SpotOnMedia,44.47,2,1,50.0,english hindi r,"ms-excelclient relationship management crm client relationshipenglish proficiency spoken english proficiency written hindi proficiency spoken +1 more, ms-office",2
20,3,,Modtraa Design And Creation Incorporation,41.22,2,1,50.0,communication english r ski,"english proficiency spoken english proficiency written kannada proficiency spoken interpersonal skillseffective communication, presentation skillsms-excel",2
20,40,,RMSI Private Limited,40.12,1,1,100.0,r sql sql server,sqlms sql servergisarcgisssms,1
20,26,,Imarticus Learning,40.08,1,1,100.0,design thinking r,content writingms-wordms-powerpointstoryboardingms-excelcontent managementdesign thinking+3 more,1
21,4,,CCL Advisors,44.5,1,1,100.0,legal research r,legal researchcompany lawlegal draftingstatutory complianceslegal writingcontract management,1
21,3,,Modtraa Design And Creation Incorporation,44.23,2,1,50.0,communication english r ski,"english proficiency spoken english proficiency written kannada proficiency spoken interpersonal skillseffective communication, presentation skillsms-excel",2
21,43,,Mintifi Finserve Private Limited,44.22,3,1,33.33,english r,"english proficiency spoken, ms-excel, ms-office",3
21,9,,Internshala,43.27,1,1,100.0,communication english r,negotiationproblem solvingenglish proficiency spoken saleseffective communication,1
21,10,,Internshala,43.27,1,1,100.0,communication english r,negotiationproblem solvingenglish proficiency spoken saleseffective communication,1
21,5,,SREEDHARA ENTERPRISES,42.95,2,1,50.0,accounting english r,"english proficiency spoken english proficiency written, ms-officeaccountingtallyms-excel",2
21,39,,KnowledgeWorks Global Limited,42.41,1,1,100.0,english r,english proficiency spoken english proficiency written,1
21,1,,Calipers Consulting Private Limited,41.23,2,1,50.0,english r,"ms-exceldata entryenglish proficiency spoken english proficiency written, ms-office",2
21,2,,Gruhatara Estates,40.63,2,1,50.0,market research r,"market researchmarketing strategies, negotiationdigital marketing",2
21,45,,Lishanth Enterprises,38.52,1,1,100.0,r,client relationship management crm coordinationsales managementclient relationshipnegotiationscustomer acquisitionsales strategy,1
