resume_id,job_id,job_title,company,location,resume_category,similarity_score,match_percentage,matched_skills,original_job_skills
5,1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)",,0.4494,44.94,english; r,"MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)"
5,26,,Imarticus Learning,"Mumbai, Noida",,0.4339,43.39,design thinking; r,Content WritingMS-WordMS-PowerPointStoryboardingMS-ExcelContent ManagementDesign Thinking+3 more
5,5,,SREEDHARA ENTERPRISES,Bangalore,,0.4265,42.65,accounting; english; r,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)"
5,29,,GlobalStep Services Private Limited,Pune,,0.4066,40.66,r,RecruitmentResume screeningInterview Coordination
5,37,,Urban Company,Bangalore,,0.3884,38.84,english; r,"MS-Excel, English Proficiency (Spoken)"
5,7,,Leafoberryy,Mumbai,,0.3837,38.37,communication; data analytics; r,LeadershipTeam ManagementE-commerceData AnalyticsMentorshipB2B SalesEffective Communication+2 more
5,17,,SpotOnMedia,Work from home,,0.3749,37.49,english; hindi; r,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more"
6,39,,KnowledgeWorks Global Limited,"Chennai, Mumbai",,0.5765,57.65,english; r,English Proficiency (Spoken)English Proficiency (Written)
6,1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)",,0.5583,55.83,english; r,"MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)"
6,37,,Urban Company,Bangalore,,0.4898,48.98,english; r,"MS-Excel, English Proficiency (Spoken)"
6,43,,Mintifi Finserve Private Limited,Mumbai,,0.4778,47.78,english; r,"MS-Office, MS-Excel, English Proficiency (Spoken)"
6,5,,SREEDHARA ENTERPRISES,Bangalore,,0.477,47.7,accounting; english; r,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)"
6,17,,SpotOnMedia,Work from home,,0.4708,47.08,english; hindi; r,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more"
6,24,,SpotOnMedia,Work from home,,0.4708,47.08,english; hindi; r,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more"
6,38,,Urban Company Ltd.,Bangalore,,0.4593,45.93,english; r,"MS-Excel, English Proficiency (Written)"
6,3,,Modtraa Design And Creation Incorporation,Bangalore,,0.4323,43.23,communication; english; r; ski,"Presentation skillsMS-Excel, English Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication"
6,26,,Imarticus Learning,"Mumbai, Noida",,0.4147,41.47,design thinking; r,Content WritingMS-WordMS-PowerPointStoryboardingMS-ExcelContent ManagementDesign Thinking+3 more
7,17,,SpotOnMedia,Work from home,,0.417,41.7,english; hindi; r,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more"
7,24,,SpotOnMedia,Work from home,,0.417,41.7,english; hindi; r,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more"
7,37,,Urban Company,Bangalore,,0.3457,34.57,english; r,"MS-Excel, English Proficiency (Spoken)"
7,1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)",,0.3428,34.28,english; r,"MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)"
7,7,,Leafoberryy,Mumbai,,0.3164,31.64,communication; data analytics; r,LeadershipTeam ManagementE-commerceData AnalyticsMentorshipB2B SalesEffective Communication+2 more
7,34,,Ashiana Housing Limited,Bhiwadi,,0.3133,31.33,data analytics; r,Data AnalyticsMS-ExcelData entryPower BIData Analysis
7,5,,SREEDHARA ENTERPRISES,Bangalore,,0.3125,31.25,accounting; english; r,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)"
7,49,,Cloudnine Hospital,Bangalore,,0.3029,30.29,english; r,"MS-Excel, English Proficiency (Written)CanvaPivot TableVLOOKUP"
7,38,,Urban Company Ltd.,Bangalore,,0.3012,30.12,english; r,"MS-Excel, English Proficiency (Written)"
7,14,,NYX,Work from home,,0.2997,29.97,r,NegotiationDigital MarketingClient Relationship Management (CRM)Client RelationshipLinkedIn MarketingBusiness DevelopmentGoogle Workspace+5 more
8,39,,KnowledgeWorks Global Limited,"Chennai, Mumbai",,0.4558,45.58,english; r,English Proficiency (Spoken)English Proficiency (Written)
8,5,,SREEDHARA ENTERPRISES,Bangalore,,0.3458,34.58,accounting; english; r,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)"
8,1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)",,0.3437,34.37,english; r,"MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)"
8,17,,SpotOnMedia,Work from home,,0.3227,32.27,english; hindi; r,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more"
8,24,,SpotOnMedia,Work from home,,0.3227,32.27,english; hindi; r,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more"
8,20,,Bhanzu (Formerly Exploring Infinities),Bangalore,,0.3205,32.05,english; r; ski,English Proficiency (Spoken)English Proficiency (Written)Interpersonal skills
8,37,,Urban Company,Bangalore,,0.3154,31.54,english; r,"MS-Excel, English Proficiency (Spoken)"
8,50,,Webvio Technologies,Delhi,,0.3144,31.44,english; logging; r,BloggingSearch Engine Optimization (SEO)Creative WritingProofreadingEnglish Proficiency (Written)Research and Analytics
8,9,,Internshala,Gurgaon,,0.3137,31.37,communication; english; r,NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication
8,10,,Internshala,Gurgaon,,0.3137,31.37,communication; english; r,NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication
9,39,,KnowledgeWorks Global Limited,"Chennai, Mumbai",,0.4544,45.44,english; r,English Proficiency (Spoken)English Proficiency (Written)
9,1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)",,0.4016,40.16,english; r,"MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)"
9,50,,Webvio Technologies,Delhi,,0.3945,39.45,english; logging; r,BloggingSearch Engine Optimization (SEO)Creative WritingProofreadingEnglish Proficiency (Written)Research and Analytics
9,5,,SREEDHARA ENTERPRISES,Bangalore,,0.3788,37.88,accounting; english; r,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)"
9,43,,Mintifi Finserve Private Limited,Mumbai,,0.3695,36.95,english; r,"MS-Office, MS-Excel, English Proficiency (Spoken)"
9,3,,Modtraa Design And Creation Incorporation,Bangalore,,0.3571,35.71,communication; english; r; ski,"Presentation skillsMS-Excel, English Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication"
9,37,,Urban Company,Bangalore,,0.3553,35.53,english; r,"MS-Excel, English Proficiency (Spoken)"
9,9,,Internshala,Gurgaon,,0.3406,34.06,communication; english; r,NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication
9,10,,Internshala,Gurgaon,,0.3406,34.06,communication; english; r,NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication
9,17,,SpotOnMedia,Work from home,,0.3395,33.95,english; hindi; r,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more"
10,7,,Leafoberryy,Mumbai,,0.4877,48.77,communication; data analytics; r,LeadershipTeam ManagementE-commerceData AnalyticsMentorshipB2B SalesEffective Communication+2 more
10,39,,KnowledgeWorks Global Limited,"Chennai, Mumbai",,0.4662,46.62,english; r,English Proficiency (Spoken)English Proficiency (Written)
10,1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)",,0.462,46.2,english; r,"MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)"
10,37,,Urban Company,Bangalore,,0.4335,43.35,english; r,"MS-Excel, English Proficiency (Spoken)"
10,5,,SREEDHARA ENTERPRISES,Bangalore,,0.4201,42.01,accounting; english; r,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)"
10,38,,Urban Company Ltd.,Bangalore,,0.4147,41.47,english; r,"MS-Excel, English Proficiency (Written)"
10,34,,Ashiana Housing Limited,Bhiwadi,,0.4095,40.95,data analytics; r,Data AnalyticsMS-ExcelData entryPower BIData Analysis
10,43,,Mintifi Finserve Private Limited,Mumbai,,0.4045,40.45,english; r,"MS-Office, MS-Excel, English Proficiency (Spoken)"
10,17,,SpotOnMedia,Work from home,,0.387,38.7,english; hindi; r,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more"
10,24,,SpotOnMedia,Work from home,,0.387,38.7,english; hindi; r,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more"
11,1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)",,0.4802,48.02,english; r,"MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)"
11,3,,Modtraa Design And Creation Incorporation,Bangalore,,0.4788,47.88,communication; english; r; ski,"Presentation skillsMS-Excel, English Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication"
11,43,,Mintifi Finserve Private Limited,Mumbai,,0.4701,47.01,english; r,"MS-Office, MS-Excel, English Proficiency (Spoken)"
11,5,,SREEDHARA ENTERPRISES,Bangalore,,0.4563,45.63,accounting; english; r,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)"
11,39,,KnowledgeWorks Global Limited,"Chennai, Mumbai",,0.437,43.7,english; r,English Proficiency (Spoken)English Proficiency (Written)
11,37,,Urban Company,Bangalore,,0.4285,42.85,english; r,"MS-Excel, English Proficiency (Spoken)"
11,50,,Webvio Technologies,Delhi,,0.4028,40.28,english; logging; r,BloggingSearch Engine Optimization (SEO)Creative WritingProofreadingEnglish Proficiency (Written)Research and Analytics
11,38,,Urban Company Ltd.,Bangalore,,0.3803,38.03,english; r,"MS-Excel, English Proficiency (Written)"
11,9,,Internshala,Gurgaon,,0.3751,37.51,communication; english; r,NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication
11,10,,Internshala,Gurgaon,,0.3751,37.51,communication; english; r,NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication
12,1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)",,0.4508,45.08,english; r,"MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)"
12,4,,CCL Advisors,Mumbai,,0.4173,41.73,legal research; r,Legal ResearchCompany LawLegal DraftingStatutory compliancesLegal WritingContract Management
12,43,,Mintifi Finserve Private Limited,Mumbai,,0.4139,41.39,english; r,"MS-Office, MS-Excel, English Proficiency (Spoken)"
12,17,,SpotOnMedia,Work from home,,0.3835,38.35,english; hindi; r,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more"
12,24,,SpotOnMedia,Work from home,,0.3835,38.35,english; hindi; r,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more"
12,5,,SREEDHARA ENTERPRISES,Bangalore,,0.3766,37.66,accounting; english; r,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)"
12,39,,KnowledgeWorks Global Limited,"Chennai, Mumbai",,0.3565,35.65,english; r,English Proficiency (Spoken)English Proficiency (Written)
12,29,,GlobalStep Services Private Limited,Pune,,0.3411,34.11,r,RecruitmentResume screeningInterview Coordination
12,37,,Urban Company,Bangalore,,0.3319,33.19,english; r,"MS-Excel, English Proficiency (Spoken)"
12,7,,Leafoberryy,Mumbai,,0.3281,32.81,communication; data analytics; r,LeadershipTeam ManagementE-commerceData AnalyticsMentorshipB2B SalesEffective Communication+2 more
13,43,,Mintifi Finserve Private Limited,Mumbai,,0.5596,55.96,english; r,"MS-Office, MS-Excel, English Proficiency (Spoken)"
13,5,,SREEDHARA ENTERPRISES,Bangalore,,0.5222,52.22,accounting; english; r,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)"
13,37,,Urban Company,Bangalore,,0.5098,50.98,english; r,"MS-Excel, English Proficiency (Spoken)"
13,39,,KnowledgeWorks Global Limited,"Chennai, Mumbai",,0.4821,48.21,english; r,English Proficiency (Spoken)English Proficiency (Written)
13,38,,Urban Company Ltd.,Bangalore,,0.4742,47.42,english; r,"MS-Excel, English Proficiency (Written)"
13,26,,Imarticus Learning,"Mumbai, Noida",,0.4426,44.26,design thinking; r,Content WritingMS-WordMS-PowerPointStoryboardingMS-ExcelContent ManagementDesign Thinking+3 more
13,3,,Modtraa Design And Creation Incorporation,Bangalore,,0.4396,43.96,communication; english; r; ski,"Presentation skillsMS-Excel, English Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication"
13,1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)",,0.4381,43.81,english; r,"MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)"
13,7,,Leafoberryy,Mumbai,,0.432,43.2,communication; data analytics; r,LeadershipTeam ManagementE-commerceData AnalyticsMentorshipB2B SalesEffective Communication+2 more
13,29,,GlobalStep Services Private Limited,Pune,,0.4198,41.98,r,RecruitmentResume screeningInterview Coordination
14,5,,SREEDHARA ENTERPRISES,Bangalore,,0.5134,51.34,accounting; english; r,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)"
14,39,,KnowledgeWorks Global Limited,"Chennai, Mumbai",,0.4967,49.67,english; r,English Proficiency (Spoken)English Proficiency (Written)
14,37,,Urban Company,Bangalore,,0.4615,46.15,english; r,"MS-Excel, English Proficiency (Spoken)"
14,1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)",,0.4598,45.98,english; r,"MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)"
14,38,,Urban Company Ltd.,Bangalore,,0.4489,44.89,english; r,"MS-Excel, English Proficiency (Written)"
14,43,,Mintifi Finserve Private Limited,Mumbai,,0.4375,43.75,english; r,"MS-Office, MS-Excel, English Proficiency (Spoken)"
14,7,,Leafoberryy,Mumbai,,0.4366,43.66,communication; data analytics; r,LeadershipTeam ManagementE-commerceData AnalyticsMentorshipB2B SalesEffective Communication+2 more
14,3,,Modtraa Design And Creation Incorporation,Bangalore,,0.4156,41.56,communication; english; r; ski,"Presentation skillsMS-Excel, English Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication"
14,50,,Webvio Technologies,Delhi,,0.4153,41.53,english; logging; r,BloggingSearch Engine Optimization (SEO)Creative WritingProofreadingEnglish Proficiency (Written)Research and Analytics
14,49,,Cloudnine Hospital,Bangalore,,0.4062,40.62,english; r,"MS-Excel, English Proficiency (Written)CanvaPivot TableVLOOKUP"
15,5,,SREEDHARA ENTERPRISES,Bangalore,,0.5668,56.68,accounting; english; r,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)"
15,43,,Mintifi Finserve Private Limited,Mumbai,,0.5199,51.99,english; r,"MS-Office, MS-Excel, English Proficiency (Spoken)"
15,37,,Urban Company,Bangalore,,0.5142,51.42,english; r,"MS-Excel, English Proficiency (Spoken)"
15,3,,Modtraa Design And Creation Incorporation,Bangalore,,0.5132,51.32,communication; english; r; ski,"Presentation skillsMS-Excel, English Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication"
15,38,,Urban Company Ltd.,Bangalore,,0.4925,49.25,english; r,"MS-Excel, English Proficiency (Written)"
15,1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)",,0.4854,48.54,english; r,"MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)"
15,39,,KnowledgeWorks Global Limited,"Chennai, Mumbai",,0.4405,44.05,english; r,English Proficiency (Spoken)English Proficiency (Written)
15,35,,California Burrito,Bangalore,,0.4175,41.75,graphic design; motion graphics; r,BrandingUI & UX DesignInterior designGraphic DesignDigital IllustrationMotion Graphics
15,21,,Fitelo,Work from home,,0.4123,41.23,communication; english; r,Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Effective Communication
15,47,,Scaler,Bangalore,,0.4002,40.02,communication; english; hindi; r,English Proficiency (Spoken)Hindi Proficiency (Spoken)Effective Communication
16,5,,SREEDHARA ENTERPRISES,Bangalore,,0.4383,43.83,accounting; english; r,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)"
16,1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)",,0.436,43.6,english; r,"MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)"
16,43,,Mintifi Finserve Private Limited,Mumbai,,0.4288,42.88,english; r,"MS-Office, MS-Excel, English Proficiency (Spoken)"
16,39,,KnowledgeWorks Global Limited,"Chennai, Mumbai",,0.3867,38.67,english; r,English Proficiency (Spoken)English Proficiency (Written)
16,37,,Urban Company,Bangalore,,0.3771,37.71,english; r,"MS-Excel, English Proficiency (Spoken)"
16,29,,GlobalStep Services Private Limited,Pune,,0.3525,35.25,r,RecruitmentResume screeningInterview Coordination
16,26,,Imarticus Learning,"Mumbai, Noida",,0.3512,35.12,design thinking; r,Content WritingMS-WordMS-PowerPointStoryboardingMS-ExcelContent ManagementDesign Thinking+3 more
16,38,,Urban Company Ltd.,Bangalore,,0.3498,34.98,english; r,"MS-Excel, English Proficiency (Written)"
16,44,,Starcrest Services Pvt. Ltd.,"Delhi, Gurgaon, Noida",,0.3409,34.09,r,MS-OfficeRecruitment
16,3,,Modtraa Design And Creation Incorporation,Bangalore,,0.339,33.9,communication; english; r; ski,"Presentation skillsMS-Excel, English Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication"
17,1,,Calipers Consulting Private Limited,"Secunderabad, Hyderabad (Hybrid)",,0.5893,58.93,english; r,"MS-Office, MS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)"
17,5,,SREEDHARA ENTERPRISES,Bangalore,,0.5826,58.26,accounting; english; r,"MS-OfficeAccountingTallyMS-Excel, English Proficiency (Spoken)English Proficiency (Written)"
17,43,,Mintifi Finserve Private Limited,Mumbai,,0.5672,56.72,english; r,"MS-Office, MS-Excel, English Proficiency (Spoken)"
17,7,,Leafoberryy,Mumbai,,0.533,53.3,communication; data analytics; r,LeadershipTeam ManagementE-commerceData AnalyticsMentorshipB2B SalesEffective Communication+2 more
17,17,,SpotOnMedia,Work from home,,0.5203,52.03,english; hindi; r,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more"
17,24,,SpotOnMedia,Work from home,,0.5203,52.03,english; hindi; r,"MS-Office, MS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more"
17,37,,Urban Company,Bangalore,,0.509,50.9,english; r,"MS-Excel, English Proficiency (Spoken)"
