source,source_job_id,job_title,company,location,location_area,searched_location,latitude,longitude,salary_min,salary_max,salary_is_predicted,contract_type,contract_time,category,category_tag,description,created,redirect_url,company_address,location_display,coordinates_source,geocoded_display_name,location_status,distance_available,candidate_job_family,detected_job_family,family_score,skill_match_percentage,matched_skills,skill_gaps,final_universal_score
Adzuna,5808332684,Subject Matter Expert - Clinical Team,Triomics,"Bangalore, Karnataka","India, Karnataka, Bangalore",Bengaluru,,,,,0,,,Scientific & QA Jobs,scientific-qa-jobs,"Subject Matter Expert - Liquid Focused About Triomics: Triomics helps oncology organizations scale clinical research and high-quality data creation without scaling headcount. Our AI platform - powered by OncoLLM™- automates the operational work behind trial screening, eligibility interpretation, and oncology data abstraction across Prism (trial matching), Harmony (registry  RWE curation), and Symphony (clinician copilot). Built for real-world hospital workflows, Triomics integrates with EHRs an…",2026-07-21T00:33:01Z,https://www.adzuna.in/land/ad/5808332684?se=9FyUa3Sc8RGvGrvTGRxIcA&utm_medium=api&utm_source=10d03a1b&v=073AF42037D056B4717AD35E1D9B6F8FC00F2A9C,"India, Karnataka, Bangalore","Bangalore, Karnataka",,,Location available; coordinates unavailable,False,Healthcare,Healthcare,40,0.0,,Clinical Research,40.0
Adzuna,5833433926,"Associate Data Manager, Clinical Data Sciences",Pfizer,"Chennai, Tamil Nadu","India, Tamil Nadu, Chennai",Chennai,13.06041,80.24963,,,0,,full_time,Scientific & QA Jobs,scientific-qa-jobs,"This job is with Pfizer, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Use Your Power for Purpose At Pfizer, our Worldwide Medical and Safety colleagues are pivotal in bridging evidence-based medical decision support with stakeholders to enhance health and treatment outcomes. Whether you are developing frameworks to ensure our evidence is scientifically robust, offering unbiased and med…",2026-08-08T17:56:19Z,https://www.adzuna.in/land/ad/5833433926?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=3EC5E3EC6BC07AF1EB0B165CEE5682502F3BC78E,"India, Tamil Nadu, Chennai","Chennai, Tamil Nadu",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,0.0,,,40.0
Adzuna,5818523165,Hiring for US Healthcare Medical Billing Team Lead - Chennai,HCLTech,"Chennai, Tamil Nadu","India, Tamil Nadu, Chennai",Chennai,13.06041,80.24963,,,0,,,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Opening for US Healthcare AR Medical Billing Team Lead (Voice)- Chennai Location : Chennai Shift - US Shift Experience - 5 to 8 years Designation - Team Lead RESPONSIBILITIES : Responsible for the day-to-day management of 7 – 25 front level employees Adhering to agreed Key Performance Indicators, Service Level Agreements and quality standards to maximize customer satisfaction Minimize errors/feedback and increase first touch resolution through effective coaching, support, supplemental training …",2026-07-28T21:17:40Z,https://www.adzuna.in/land/ad/5818523165?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=2E51AF72786A50A98A9E194E78F90C4C6D812863,"India, Tamil Nadu, Chennai","Chennai, Tamil Nadu",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,0.0,,,40.0
Adzuna,5813878264,Medical Coding Trainer - offline,Zentra MedTech,"Coimbatore, Tamil Nadu","India, Tamil Nadu, Coimbatore",Coimbatore,11.017171,77.100203,,,0,,,IT Jobs,it-jobs,"‍ We're Hiring – Offline Medical Coding Trainer  We're Looking For: ✅ Experienced Medical Coding Professionals ✅ Strong knowledge of ICD-10-CM, CPT & HCPCS ✅ Excellent teaching & presentation skills ✅ CPC Certified (Preferred) ✅ Passionate mentors who can inspire students  Why Join Zentra MedTech? ✔ Premium Work Environment ✔ Career Growth Opportunities ✔ Supportive Team Culture ✔ Competitive Salary ✔ Modern Training Facilities Salary : 20,000 - 40,000  incentives { per month }  Location: Near …",2026-07-24T19:01:41Z,https://www.adzuna.in/land/ad/5813878264?se=OO_RYXSc8RGqn_jkSy3S8Q&utm_medium=api&utm_source=10d03a1b&v=B072223D3BB452E00197F9C6491B9E14AF0A8260,"India, Tamil Nadu, Coimbatore","Coimbatore, Tamil Nadu",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,0.0,,Medical Coding,40.0
Adzuna,5697210237,Physiotherapist,Kinergy Physio,"Coimbatore, Tamil Nadu","India, Tamil Nadu, Coimbatore",Coimbatore,11.017171,77.100203,,,0,,,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"WE'RE HIRING — CLINICAL PHYSIOTHERAPISTS   Kinergy Physio, Saibaba Colony, Coimbatore Kinergy Physio is one of Coimbatore's most established rehab centres — a true centre of excellence for pain relief, physical rehabilitation, wellness, and sports & exercise medicine. We treat everything from acute and chronic spinal pain to knee, hip, shoulder, and back conditions, with a strong focus on evidence-based, personalised care. If you want to build real clinical skill — not just clock in and out — …",2026-04-12T08:36:00Z,https://www.adzuna.in/land/ad/5697210237?se=OO_RYXSc8RGqn_jkSy3S8Q&utm_medium=api&utm_source=10d03a1b&v=8A4BECA5E486BE6BBECC1247BE5E6B50067B71D3,"India, Tamil Nadu, Coimbatore","Coimbatore, Tamil Nadu",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,0.0,,,40.0
Adzuna,5680961222,Manager Clinical Data Management,IQVIA India,"Kochi, Ernakulam","India, Kerala, Ernakulam, Kochi",Kochi,9.98011,76.24637,,,0,,,Scientific & QA Jobs,scientific-qa-jobs,"Title : Manager, CDM Location: Kochi,Kerala (office based) Experience: 12–15 years in Clinical Data Management  Leadership: Minimum 3 years managing teams of 10–15 professionals Job Overview Manage and support team of Data Management professionals to efficiently produce databases that meet customer requirements. Essential Functions • Provide expert review and guidance for production of Data Management deliverables including CRF/e-CRF, database design and set-up, validation definition and progra…",2026-03-28T09:45:57Z,https://www.adzuna.in/land/ad/5680961222?se=RBaWb3Sc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=90AF69E7C93FCFEFABF3C70C9FF4DB636CF03C80,"India, Kerala, Ernakulam, Kochi","Kochi, Ernakulam",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,0.0,,,40.0
Adzuna,4686700219,Staff Nurse,,"Kollam, Kerala","India, Kerala, Kollam",Kollam,9.01303,76.6143,,,0,,,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"URGENT OPPORTUNITY FOR STAFF NURSES IN LEADING HEALTHCARE GROUP IN DUBAI. Opportunity for Staff Nurses in Leading healthcare group in DUBAI,UAE Qualification – BSc Nursing Experience – Min 2 Yrs Gender- Male/Female Facilities offering attractive Salary incentives and other benefits. Interested candidate kindly forward your updated CV as early as possible. Direct Interview with Hospital delegates.",2024-05-10T07:38:17Z,https://www.adzuna.in/details/4686700219?utm_medium=api&utm_source=10d03a1b,"India, Kerala, Kollam","Kollam, Kerala",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,0.0,,,40.0
Adzuna,5830417651,Registered Nurse,A-Class Marble India Pvt. Ltd.,"Kozhikode, Kerala","India, Kerala, Kozhikode",Kozhikode,11.16223,75.81366,,,0,,full_time,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Company Description thegrade&co is a multidisciplinary team of designers, thinkers, strategists, and business professionals who blend creativity with practical problem-solving. The organization values originality, responsiveness, and adaptability, encouraging team members to explore new ideas and challenge conventional approaches. thegrade&co is dedicated to tackling complex challenges and delivering impactful work that makes a meaningful difference. Team members collaborate with some of the sh…",2026-08-06T17:51:57Z,https://www.adzuna.in/land/ad/5830417651?se=bLSAc3Sc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=72CF0E1CEE65CFC30DC348D65F8FDEB9DF5F4BAE,"India, Kerala, Kozhikode","Kozhikode, Kerala",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,0.0,,,40.0
Adzuna,5837548571,Billing and Supply Staff — Paanai Eatery @ GKF Hospital,GKF,"Madurai South, Madurai","India, Tamil Nadu, Madurai, Madurai South",Madurai,9.91995,78.087,15000.0,15000.0,0,,full_time,Hospitality & Catering Jobs,hospitality-catering-jobs,"Billing and Supply Staff — Paanai Eatery @ GKF Hospital Reports to: Restaurant Manager (Paanai) / Department In-charge (Hospital) Responsibilities • Handle billing (POS, cash/card/UPI, GST-compliant receipts, daily reconciliation) • Manage counter supplies and stock • Assist kitchen during peak hours (prep, plating, packaging) • Support restaurant service (table service, order delivery) • Support assigned hospital duties as needed Key Skills: Billing accuracy, cash handling, customer service, a…",2026-08-12T07:05:25Z,https://www.adzuna.in/details/5837548571?utm_medium=api&utm_source=10d03a1b,"India, Tamil Nadu, Madurai, Madurai South","Madurai South, Madurai",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,0.0,,,40.0
Adzuna,4686706103,Nurse,,"Madurai, Tamil Nadu","India, Tamil Nadu, Madurai",Madurai,9.91051,78.1158,,,0,,,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Dear Nurse,Warm Greetings from SMS Placement ConsultantsA Leading Speciality Hospitals Looking for Staff Nurse in TRICHY and COIMBATORE Tamil Nadu. STAFF NURSE - TRICHY & COIMBATOREPosition Name: Staff NurseQualification: GNM/B.sc (Nursing)Experience: 0 – 3 YearsDuty Timing: Hospital TimingNo.of.Vacancy: 3Gender: Female onlyJob Location: Trichy, CoimbatoreAccommodation: Single Accommodation will be provided. Job seekers can share your details to (job.smspcgmail.com) and our Consultants contact …",2024-05-10T07:38:59Z,https://www.adzuna.in/details/4686706103?utm_medium=api&utm_source=10d03a1b,"India, Tamil Nadu, Madurai","Madurai, Tamil Nadu",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,0.0,,,40.0
Adzuna,5794934996,Medical Coder,Vee Healthtek Private Limited,"Salem, Tamil Nadu","India, Tamil Nadu, Salem",Salem,11.56305,77.99725,,,0,,,IT Jobs,it-jobs,"Key Details: Experience: 1 Years of experience in EM, ED, Radiology, Anesthesia, IVR, Denials, IP DRG & Surgery Medical Coding. Specialties: EM, ED, Radiology, Anesthesia, IVR, Denials, IP DRG & Surgery. Total Experience Required: 1-5 Years. Designation: Medical Coder / Senior Coder. Certification: Open to both Certified and Non-Certified candidates. Joining Requirement: Immediate joiners only. Location: Chennai, Trichy, Salem, Bangalore, Hyderabad (Work From Office) Responsibilities: Accuratel…",2026-07-10T07:16:42Z,https://www.adzuna.in/details/5794934996?utm_medium=api&utm_source=10d03a1b,"India, Tamil Nadu, Salem","Salem, Tamil Nadu",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,0.0,,Medical Coding,40.0
Adzuna,5752355253,Physical Therapy Assistant PRN (55319),Livingston Hospital,"Salem, Tamil Nadu","India, Tamil Nadu, Salem",Salem,11.56305,77.99725,,,0,,,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Description POSITION SUMMARY: A skilled health care worker, certified and licensed by the Kentucky Board of Physical Therapy, who performs physical therapy and related duties as assigned by the supervising physical therapist. Uses own professional judgement to maintain and carryout duties of the department and provided direct patient care. Understands and provides age appropriate care to all ages from pediatric, adolescent, adult and for geriatric patients. PRIMARY RESPONSIBILITIES & AUTHORITIE…",2026-06-05T02:37:15Z,https://www.adzuna.in/details/5752355253?utm_medium=api&utm_source=10d03a1b,"India, Tamil Nadu, Salem","Salem, Tamil Nadu",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,0.0,,Patient Care,40.0
Adzuna,5812180146,WE ARE HIRIING FOR STAFF NURSE I,AdPost4U Classifieds,"Salem, Tamil Nadu","India, Tamil Nadu, Salem",Salem,11.56305,77.99725,,,0,,part_time,IT Jobs,it-jobs,"adpost4u.com Free Classifieds » Other Jobs » WE ARE HIRIING FOR STAFF NURSE IN SALEM 15000.00 ₹ WE ARE HIRIING FOR STAFF NURSE IN SALEM Salem Other Jobs Discover more Vehicle Marketing services listing Multi-country classifieds We are searching for an organized, ambitious .NET developer to generate software using .NET's infrastructure. The .NET developer's duties include sourcing project requirements, deciding on the most appropriate software solutions, and ensuring that developments are error-…",2026-07-23T15:54:17Z,https://www.adzuna.in/details/5812180146?utm_medium=api&utm_source=10d03a1b,"India, Tamil Nadu, Salem","Salem, Tamil Nadu",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,0.0,,,40.0
Adzuna,5811055034,WE ARE HIRING FOR HOSPITAL RECEP,AdPost4U Classifieds,"Salem, Tamil Nadu","India, Tamil Nadu, Salem",Salem,11.56305,77.99725,,,0,permanent,part_time,Admin Jobs,admin-jobs,"adpost4u.com Free Classifieds » Other Jobs » WE ARE HIRING FOR HOSPITAL RECEPTIONIST IN SALEM 10000.00 ₹ WE ARE HIRING FOR HOSPITAL RECEPTIONIST IN SALEM Salem Other Jobs Discover more Marketing services listing Classifieds posting services classified We are looking for a receptionist to be responsible for greeting clients and visitors to our office. You will be in charge of giving clients directions to various parts of the office, contacting employees regarding visitors, answering phones and t…",2026-07-22T21:23:17Z,https://www.adzuna.in/details/5811055034?utm_medium=api&utm_source=10d03a1b,"India, Tamil Nadu, Salem","Salem, Tamil Nadu",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,0.0,,,40.0
Adzuna,5739278047,Clinical Sales Specialist - Neuro Rehabilitation,Genrobotic Innovations Private Limited,"Thiruvananthapuram, Kerala","India, Kerala, Thiruvananthapuram",Thiruvananthapuram,8.38159,77.0037,420000.0,840000.0,0,permanent,full_time,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Join a pioneering team transforming healthcare through advanced medical robotics, rehabilitation technologies, and mobility solutions. We are seeking a passionate and clinically driven Clinical Sales Specialist to promote innovative healthcare products and build strong partnerships with hospitals, rehabilitation centers, healthcare institutions, and government organizations. Key Responsibilities: Promote and drive sales of medical robotics, rehabilitation devices, assistive technologies, and mo…",2026-05-24T06:06:56Z,https://www.adzuna.in/details/5739278047?utm_medium=api&utm_source=10d03a1b,"India, Kerala, Thiruvananthapuram","Thiruvananthapuram, Kerala",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,0.0,,,40.0
Adzuna,5847087495,Ground Staff Required in Thiruvananthapuram Airport,Fronix Services,"Trivandrum, Thiruvananthapuram","India, Kerala, Thiruvananthapuram, Trivandrum",Thiruvananthapuram,8.48925,76.95275,35000.0,35000.0,0,permanent,,Hospitality & Catering Jobs,hospitality-catering-jobs,"Designation- Ground Staff Qualification- Minimum 12th Pass with Good Communication Skills Salary- 28000/- Location- Thiruvananthapuram Airport Duties & Responsibilities- The duties and responsibilities of ground staff at the airport are very vast. They are the one to perform all tasks from commercial to technical. First prime duty of a ground staff is to make sure about the safety and comfort of the passengers. Their duties include checking the baggage, cleaning and making the flight experience…",2026-08-18T23:18:06Z,https://www.adzuna.in/details/5847087495?utm_medium=api&utm_source=10d03a1b,"India, Kerala, Thiruvananthapuram, Trivandrum","Trivandrum, Thiruvananthapuram",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,0.0,,,40.0
Adzuna,5446778881,Homecare Nurse,2coms,"Trivandrum, Thiruvananthapuram","India, Kerala, Thiruvananthapuram, Trivandrum",Thiruvananthapuram,8.46721,76.94,700000.0,1200000.0,0,permanent,full_time,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Title: Homecare Nurse Location: Qatar (Candidate must be willing to relocate to Qatar) Job Type: Full-Time Industry: Healthcare/ Medical Key Responsibilities: · Develop and assess nursing care plans · Monitor vital signs and assess holistic patient needs · Collaborate with physicians, staff nurses, and healthcare team members · Administer oral and subcutaneous medications while ensuring safety · Document nursing care, medications, and procedures using the company's Nurses Buddy application · Co…",2025-10-14T15:28:34Z,https://www.adzuna.in/details/5446778881?utm_medium=api&utm_source=10d03a1b,"India, Kerala, Thiruvananthapuram, Trivandrum","Trivandrum, Thiruvananthapuram",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,0.0,,,40.0
Adzuna,4801494186,Audit Executive - IC&Q - MFB - Madurai - Thiruparakundram - J Grades,Tata Capital,"Tiruchirappalli, Tamil Nadu","India, Tamil Nadu, Tiruchirappalli",Tiruchirappalli,10.8091,78.66775,,,0,,full_time,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Description Conduct Schedule and Surprise Visits for 8 branches as per schedule given by HO Gather market intelligence on MFI business in the area Maintain a record of Collection quality in the catchment and advice branches of caution areas Support field teams in difficult cases of collections Conduct investigation into special situation if need arises Qualification: Graduate/ Post Graduate in any discipline,2024-07-31T03:10:07Z,https://www.adzuna.in/details/4801494186?utm_medium=api&utm_source=10d03a1b,"India, Tamil Nadu, Tiruchirappalli","Tiruchirappalli, Tamil Nadu",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,0.0,,,40.0
Adzuna,4686704110,Medical Coder,,"Tirunelveli, Tamil Nadu","India, Tamil Nadu, Tirunelveli",Tirunelveli,8.7256,77.69625,,,0,,,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Graduates or Post Graduates in Life Sciences Nursing Physiotherapy Pharmacy Bio-Technology/Bio-Medical Engineering /B. Pharm / D.Pharm Good knowledge in Physiology and Anatomy Competent in Reading and Comprehending English language Punctuality, Attendance and General Adherence to company policies, procedures and practices Be a team player and active participant in meetings & reviews Should understand the Client SoP and code the chart received from the client Meet the production and quality targ…",2024-05-10T07:38:45Z,https://www.adzuna.in/details/4686704110?utm_medium=api&utm_source=10d03a1b,"India, Tamil Nadu, Tirunelveli","Tirunelveli, Tamil Nadu",Adzuna,,Coordinates from Adzuna,True,Healthcare,Healthcare,40,0.0,,Medical Coding,40.0
