source,source_job_id,job_title,company,location,location_area,searched_location,latitude,longitude,salary_min,salary_max,salary_is_predicted,contract_type,contract_time,category,description,created,redirect_url,profession_category,search_term,detected_job_profession,skill_match_percentage,matched_skills,missing_candidate_skills,matched_skill_count,missing_skill_count,final_match_score,candidate_role,job_role,role_score,role_skill_gaps,final_role_aware_score
Adzuna,4686702626,Medical Representative,,"Hyderabad, Telangana","['India', 'Telangana', 'Hyderabad']",Hyderabad,17.40275,78.50806,,,0,,,Healthcare & Nursing Jobs,"We have below opening in Pharmaceutical Company Designation: Medical Representative Location: Central Hyderabad Gender: Male Education: D. Pharm., B. Pharm., B.Sc Chemistry., B.Com., Experience: Minimum 2 years as Medical Representative in top 200 Pharma companies only. Specialization in Doctors of General Physician ( MBBS ) , Gynecologist and orthopedics Communication Skills: Candidate should have good communication in English Language Salary: Negotiable from current CTC, but for good potentia…",2024-05-10T07:38:33Z,https://www.adzuna.in/details/4686702626?utm_medium=api&utm_source=10d03a1b,Healthcare,general physician,Healthcare,27.27,"MBBS, General Medicine, Doctor","MD, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",3,8,23.18,Doctor / Physician,Doctor / Physician,50,,67.73
Adzuna,5828603281,Consultant - Intensivise Care,Kamineni Hospitals Private Limited,"Hyderabad, Telangana","['India', 'Telangana', 'Hyderabad']",Hyderabad,17.40275,78.50806,,,0,,,Healthcare & Nursing Jobs,"Job description : We are looking for Intensive care doctors for our Multi specalty hospitals location in Hyderabad. Below are the requirements: Designation : Consultant / Junior consultant Department : ICU / Anesthesiology Education : MBBS and MD / DNB in Anesthesiology or Critical care Salary : 1 lakh to 2 lakhs per month. Job Description: Administer sedation or anesthesia during medical procedures, whether local, intravenous, caudal or spinal. Monitor and assess patients vital signs before, d…",2026-08-05T07:25:15Z,https://www.adzuna.in/details/5828603281?utm_medium=api&utm_source=10d03a1b,Healthcare,physician,Healthcare,27.27,"MBBS, MD, Doctor","General Medicine, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",3,8,23.18,Doctor / Physician,Doctor / Physician,50,,67.73
Adzuna,5827735925,MBBS Doctors for Content creation (for EHR/EMR) USMLE / NEET PG candidates,DesignMedicine,"Bangalore, Karnataka","['India', 'Karnataka', 'Bangalore']",Bengaluru,,,,,0,,full_time,Healthcare & Nursing Jobs,"We are hiring MBBS Doctors to develop management protocols, clinical decision support and reference content for next generation electronic health records. Full time, remote role Monday to Friday only (weekends are off) You will work on creating various forms of medical content Learn while you work Dynamic, academic and stress free work environment Work with leaders in digital health. What we are looking for Candidates who are academically sound, strong knowledge of practice of medicine Someone …",2026-08-04T17:45:22Z,https://www.adzuna.in/land/ad/5827735925?se=dhG6FYec8RGwBe63zKMEtw&utm_medium=api&utm_source=10d03a1b&v=8CD3B72E0A0A93342497B508FFBB8258FB3CB5E3,Healthcare,doctor,Healthcare,18.18,"MBBS, Doctor","MD, General Medicine, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",2,9,30.45,Doctor / Physician,Doctor / Physician,50,,61.82
Adzuna,4686703695,MBBS Doctor,,"Hyderabad, Telangana","['India', 'Telangana', 'Hyderabad']",Hyderabad,17.40275,78.50806,,,0,,,Healthcare & Nursing Jobs,"Patient Home Visits. Prescribe or administer treatment, therapy, medication, vaccination, and other specialized medical care to treat or prevent illness, disease or injury. Collect, record, and maintain patient information.",2024-05-10T07:38:41Z,https://www.adzuna.in/details/4686703695?utm_medium=api&utm_source=10d03a1b,Healthcare,doctor,Healthcare,18.18,"MBBS, Doctor","MD, General Medicine, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",2,9,30.45,Doctor / Physician,Doctor / Physician,50,,61.82
Adzuna,5782107375,MBBS Doctor,Al Amani Human Resources Consultancy,"Koyilandi, Kozhikode","['India', 'Kerala', 'Kozhikode', 'Koyilandi']",Kozhikode,11.2293,75.8395,,,0,permanent,full_time,Healthcare & Nursing Jobs,MBBS DOCTORS required for a reputed 5 Star Clinical Resort in Kerala: MBBS Degree with 3 years experience in hospitals / Clinics Valid Medical Council Registration Strong Diagnostic & patient care skills Comprehensive medical knowledge Empathetic communication Immediate joining preferred Benefits: Salary IRs. 1 Lakh/month based on experience Group health benefits and incentives Dynamic work environment Free Recruitment,2026-06-30T19:14:27Z,https://www.adzuna.in/details/5782107375?utm_medium=api&utm_source=10d03a1b,Healthcare,doctor,Healthcare,18.18,"MBBS, Doctor","MD, General Medicine, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",2,9,30.45,Doctor / Physician,Doctor / Physician,50,Patient Care,61.82
Adzuna,5782690976,MD Dermatologist,Bodycraft,"Chennai, Tamil Nadu","['India', 'Tamil Nadu', 'Chennai']",Chennai,13.06041,80.24963,,,0,,,Healthcare & Nursing Jobs,An aesthetic doctor diagnoses and treats a variety of skin conditions and performs cosmetic procedures to enhance patients' appearance. They provide personalized care and stay updated with the latest advancements in aesthetic medicine. Responsibilities Patient Consultation: Conduct thorough consultations to understand patients' aesthetic goals and medical history. Physical Examinations: Perform skin health assessments and physical examinations. Personalized Treatment Plans: Design treatment pla…,2026-07-01T07:18:33Z,https://www.adzuna.in/details/5782690976?utm_medium=api&utm_source=10d03a1b,Healthcare,doctor,Healthcare,18.18,"MD, Doctor","MBBS, General Medicine, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",2,9,25.45,Doctor / Physician,Doctor / Physician,50,,61.82
Adzuna,5329697052,Part Time/ Full Time Medical Officer (MBBS),PlexusMD,"Coimbatore, Tamil Nadu","['India', 'Tamil Nadu', 'Coimbatore']",Coimbatore,11.017171,77.100203,,,0,,full_time,Part time Jobs,"Looking for MBBS doctors at our Trust Hospital, 20 kms away from Coimbatore. Accommodation will be provided by the hospital. Knowledge of Tamil language is mandatory. The timings for full time are 10 AM to 6 PM and for part-time are 10 AM to 2 PM and 2 PM to 7 PM.",2025-07-31T17:02:12Z,https://www.adzuna.in/details/5329697052?utm_medium=api&utm_source=10d03a1b,Healthcare,doctor,Healthcare,18.18,"MBBS, Doctor","MD, General Medicine, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",2,9,25.45,Doctor / Physician,Doctor / Physician,50,,61.82
Adzuna,5782690969,MD Dermatologist,Bodycraft,"Vellore, Tamil Nadu","['India', 'Tamil Nadu', 'Vellore']",Vellore,12.93975,79.3664,,,0,,,Healthcare & Nursing Jobs,An aesthetic doctor diagnoses and treats a variety of skin conditions and performs cosmetic procedures to enhance patients' appearance. They provide personalized care and stay updated with the latest advancements in aesthetic medicine. Responsibilities Patient Consultation: Conduct thorough consultations to understand patients' aesthetic goals and medical history. Physical Examinations: Perform skin health assessments and physical examinations. Personalized Treatment Plans: Design treatment pla…,2026-07-01T07:18:33Z,https://www.adzuna.in/details/5782690969?utm_medium=api&utm_source=10d03a1b,Healthcare,doctor,Healthcare,18.18,"MD, Doctor","MBBS, General Medicine, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",2,9,25.45,Doctor / Physician,Doctor / Physician,50,,61.82
Adzuna,4686702783,Doctor,,"Bangalore, Karnataka","['India', 'Karnataka', 'Bangalore']",Bengaluru,12.95703,77.59837,,,0,,,Healthcare & Nursing Jobs,"Bhavesh Speciality Clinic- Healthcare facility primarily focused on care of outpatients. Looking for LADY doctors/Even Retired willing to serve their service. Job Title: BAMS/BHMS/BUMS/MBBS / Gynecologist. • Required Experience in hospital or clinic(1year) • Training in medical areas such as Pediatrics, small Surgery , ,Internal Medicine, Gynecology and Community Medicine. • Flexible working hours. • Degree in Medicine (Essential) • Fantastic counselling and listening skills. • Compassionate na…",2024-05-10T07:38:34Z,https://www.adzuna.in/details/4686702783?utm_medium=api&utm_source=10d03a1b,Healthcare,doctor,Healthcare,18.18,"MBBS, Doctor","MD, General Medicine, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",2,9,25.45,Doctor / Physician,Doctor / Physician,50,,61.82
Adzuna,4686702329,Online Consultation Doctor,,"Bangalore, Karnataka","['India', 'Karnataka', 'Bangalore']",Bengaluru,12.95703,77.59837,,,0,,,Engineering Jobs,"Position: Online consultation doctor, Location: HSR Layout Qualification: MBBS Shift timing: 8AM-4PM, 12PM-8PM, 2PM-10Pm,12AM-8AM KMC is must, 1 year contract, Remote work is available till covid19",2024-05-10T07:38:31Z,https://www.adzuna.in/details/4686702329?utm_medium=api&utm_source=10d03a1b,Healthcare,doctor,Healthcare,18.18,"MBBS, Doctor","MD, General Medicine, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",2,9,25.45,Doctor / Physician,Doctor / Physician,50,,61.82
Adzuna,5507715738,3838888-Assistant Manager,EXL,"Chennai, Tamil Nadu","['India', 'Tamil Nadu', 'Chennai']",Chennai,13.06041,80.24963,,,0,,full_time,Healthcare & Nursing Jobs,"Description Physicians reviewers - AM Overview: Physician with minimum 1 year of clinical experience and skillset, to review the clinical information/medical record and summarize relevant clinical information based on set of guidelines/criteria. Qualifications: MBBS in India or MD (foreign medical graduates) MCI license – preferred, not mandatory Prior experience with US health care preferred (not mandatory) Computer literate (MS Word, Excel, PPT) Experience: Clinical experience: Minimum 1 year…",2025-11-21T22:30:03Z,https://www.adzuna.in/details/5507715738?utm_medium=api&utm_source=10d03a1b,Healthcare,physician,Healthcare,18.18,"MBBS, MD","General Medicine, Doctor, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",2,9,15.45,Doctor / Physician,Doctor / Physician,50,Medical Records,61.82
Adzuna,5453638008,3838901-Lead Assistant Manager,EXL,"Chennai, Tamil Nadu","['India', 'Tamil Nadu', 'Chennai']",Chennai,13.06041,80.24963,,,0,,full_time,Healthcare & Nursing Jobs,"Description Physicians reviewers - LAM Overview: Physician with minimum 3 -5 years of clinical experience and skillset, to review the clinical information/medical record and summarize relevant clinical information based on set of guidelines/criteria. Qualifications: MBBS in India or MD (foreign medical graduates) MCI license – preferred, not mandatory Prior experience with US health care Computer literate (MS Word, Excel, PPT) Experience: Clinical experience: Minimum 3-5 years in clinical revie…",2025-10-18T15:07:23Z,https://www.adzuna.in/details/5453638008?utm_medium=api&utm_source=10d03a1b,Healthcare,physician,Healthcare,18.18,"MBBS, MD","General Medicine, Doctor, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",2,9,15.45,Doctor / Physician,Doctor / Physician,50,Medical Records,61.82
Adzuna,5820579842,Wanted Male/Female Internal Medicine Specialist,Resolve,"Coimbatore, Tamil Nadu","['India', 'Tamil Nadu', 'Coimbatore']",Coimbatore,11.017171,77.100203,,,0,,,Healthcare & Nursing Jobs,"Wanted Male/Female Internal Medicine Specialist Qualification: Masters in respective Specialization Females should be married 3years of experience with Medical License Department: Internal Medicine Salary: 5000-6500 USD Benefits: Food, Tranportation and Accomodation will be provided Role: Doctor - Other Industry Type: Education / Training Department: Healthcare & Life Sciences Employment Type: Full Time, Permanent Role Category: Doctor Education PG: Medical-MS/MD Skills: Medicine Experience: 3.…",2026-07-30T07:27:57Z,https://www.adzuna.in/details/5820579842?utm_medium=api&utm_source=10d03a1b,Healthcare,doctor,Healthcare,18.18,"MD, Doctor","MBBS, General Medicine, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",2,9,15.45,Doctor / Physician,Doctor / Physician,50,,61.82
Adzuna,5820579843,Wanted Male/ Female Senior Cardiac Anesthesia & ICU Specialist,Resolve,"Coimbatore, Tamil Nadu","['India', 'Tamil Nadu', 'Coimbatore']",Coimbatore,11.017171,77.100203,,,0,,,Healthcare & Nursing Jobs,"Wanted Male/Female Internal Medicine Specialist Qualification: Masters in respective Specialization Females should be married 3years of experience with Medical License Department: Internal Medicine Salary: 5000-6500 USD Benefits: Food, Tranportation and Accomodation will be provided Role: Doctor - Other Industry Type: Education / Training Department: Healthcare & Life Sciences Employment Type: Full Time, Permanent Role Category: Doctor Education PG: Medical-MS/MD Skills: cardiac anesthesia Expe…",2026-07-30T07:27:57Z,https://www.adzuna.in/details/5820579843?utm_medium=api&utm_source=10d03a1b,Healthcare,doctor,Healthcare,18.18,"MD, Doctor","MBBS, General Medicine, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",2,9,15.45,Doctor / Physician,Doctor / Physician,50,,61.82
Adzuna,5820579841,Wanted Male/Female Chief Medical Officer,Resolve,"Coimbatore, Tamil Nadu","['India', 'Tamil Nadu', 'Coimbatore']",Coimbatore,11.017171,77.100203,,,0,,,Healthcare & Nursing Jobs,"Wanted Male/Female Internal Medicine Specialist Qualification: Masters in respective Specialization Females should be married 3years of experience with Medical License Department: Internal Medicine Salary: 5000-6500 USD Benefits: Food, Tranportation and Accomodation will be provided Role: Doctor - Other Industry Type: Education / Training Department: Healthcare & Life Sciences Employment Type: Full Time, Permanent Role Category: Doctor Education PG: Medical-MS/MD Skills: Medicine Experience: 3.…",2026-07-30T07:27:57Z,https://www.adzuna.in/details/5820579841?utm_medium=api&utm_source=10d03a1b,Healthcare,doctor,Healthcare,18.18,"MD, Doctor","MBBS, General Medicine, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",2,9,15.45,Doctor / Physician,Doctor / Physician,50,,61.82
Adzuna,1740597138,Android Developer,ExpertEase,"Bangalore, Karnataka","['India', 'Karnataka', 'Bangalore']",Bengaluru,,,1700000.0,2500000.0,0,,full_time,IT Jobs,"Android Developer Purpose of the role Lead Mobile App Development @ DocsApp and Deliver quality app usage experience for DocsApp users & Doctors on the platform. Responsibilities • Develop cutting edge user experience for DocsApp users & doctors on the platform • Design, build, test, deploy, maintain, and enhance android apps • Contribute towards the product roadmap • Work on a interesting range of problems like instant messaging in poor networks, smart diagnosis- personalization for doctors in…",2020-10-04T02:29:59Z,https://www.adzuna.in/details/1740597138?utm_medium=api&utm_source=10d03a1b,Healthcare,doctor,Healthcare,18.18,"Doctor, Diagnosis","MBBS, MD, General Medicine, Patient Assessment, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",2,9,15.45,Doctor / Physician,Doctor / Physician,50,,61.82
Adzuna,5782684518,SCM Executive,Teamlease Digital Private Limited,"Hyderabad, Telangana","['India', 'Telangana', 'Hyderabad']",Hyderabad,17.40275,78.50806,,,0,,,Accounting & Finance Jobs,"Job Description Oracle SCM, Sales & distribution module, communication, ' Oracle SCM, Sales & distribution module, communication, Oracle SCM, Sales & distribution module, communication, Oracle SCM, Sales & distribution module, communication, Skills: Inventory Management, Data Analysis, Demand Forecasting, Sap Software, Supply Chain, Vendor Management, Process Improvement Experience: 0.00-1.00 Years Education: Master in Landscape Architecture, MBBS, Doctor of Public Health (DrPH), Doctor of Phys…",2026-07-01T07:14:06Z,https://www.adzuna.in/details/5782684518?utm_medium=api&utm_source=10d03a1b,Healthcare,doctor,Healthcare,18.18,"MBBS, Doctor","MD, General Medicine, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",2,9,15.45,Doctor / Physician,Doctor / Physician,50,,61.82
Adzuna,5834188779,Consultant General Physician (OPD),Medico Hub,"Hyderabad, Telangana","['India', 'Telangana', 'Hyderabad']",Hyderabad,17.40275,78.50806,600000.0,1200000.0,0,,part_time,Healthcare & Nursing Jobs,"Contact Mr Nishant 91050 24073 Urgent Hiring – Consultant General Physician (OPD) Location: Quthubullapur & Suchitra, Hyderabad, Telangana Hospital Type: Multi-Speciality Hospitals Position Consultant General Physician (Evening OPD) Qualification • MD General Medicine OR • DNB General Medicine Registration • Valid NMC / State Medical Council Registration Experience • Experienced candidates preferred • Candidates should be capable of independently managing General Medicine OPD Working Hours…",2026-08-09T06:54:57Z,https://www.adzuna.in/details/5834188779?utm_medium=api&utm_source=10d03a1b,Healthcare,general physician,Healthcare,18.18,"MD, General Medicine","MBBS, Doctor, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",2,9,15.45,Doctor / Physician,Doctor / Physician,50,,61.82
Adzuna,5822992922,Medical Consultant,MassMutual India,"Hyderabad, Telangana","['India', 'Telangana', 'Hyderabad']",Hyderabad,17.40275,78.50806,,,0,permanent,full_time,Healthcare & Nursing Jobs,Required Qualification MBBS from a recognized medical college. Preferred Experience Minimum 5 years of post-MBBS clinical experience preferred. Senior physicians and specialists with 15 years of clinical practice experience are strongly encouraged to apply. Clinical experience in one or more of the following specialties is preferred: Internal Medicine Critical Care / ICU Emergency Medicine Cardiology Pulmonology Oncology Nephrology Neurology Endocrinology General Medicine Family Medicine with s…,2026-08-01T05:33:42Z,https://www.adzuna.in/details/5822992922?utm_medium=api&utm_source=10d03a1b,Healthcare,physician,Healthcare,18.18,"MBBS, General Medicine","MD, Doctor, Patient Assessment, Diagnosis, Emergency Care, BLS, ACLS, Clinical Documentation, Patient Counselling",2,9,15.45,Doctor / Physician,Doctor / Physician,50,,61.82
